Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/reduzido/i640-311_sft 1e+09 7897.41 3528.99 0 -1 31027.3 31027.3 46900
./instancias/reduzido/i640-311_sft 1e+09 7898.01 3509.17 0 -1 31037.7 31037.7 47248
./instancias/reduzido/i640-311_sft 1e+09 7897.86 3318.92 0 -1 31037.7 31037.7 47248
./instancias/reduzido/i640-311_sft 1e+09 7898.54 3315.05 0 -1 31037.7 31037.7 47248
./instancias/reduzido/i640-311_sft 1e+09 7898.06 3307.66 0 -1 31037.7 31037.7 47248
./instancias/reduzido/i640-312_sft 1e+09 7897.88 3459.09 0 -1 30866.3 30866.3 44289
./instancias/reduzido/i640-312_sft 1e+09 7897.43 3593.9 0 -1 30872.9 30872.9 44461
./instancias/reduzido/i640-312_sft 1e+09 7897.52 3465.01 0 -1 30866.3 30866.3 44289
./instancias/reduzido/i640-312_sft 1e+09 7897.45 3453.21 0 -1 30866.3 30866.3 44289
./instancias/reduzido/i640-312_sft 1e+09 7897.46 3458.91 0 -1 30866.3 30866.3 44289
./instancias/reduzido/i640-313_sft 1e+09 7897.69 3548.67 0 -1 30739.8 30739.8 44159
./instancias/reduzido/i640-313_sft 1e+09 7898.37 3595.33 0 -1 30725.1 30725.1 43813
./instancias/reduzido/i640-313_sft 1e+09 7898.44 3515.42 0 -1 30732.1 30732.1 43979
./instancias/reduzido/i640-313_sft 1e+09 7897.8 3535.42 0 -1 30739.8 30739.8 44159
./instancias/reduzido/i640-313_sft 1e+09 7897.91 3578.93 0 -1 30739.8 30739.8 44159
./instancias/reduzido/i640-314_sft 1e+09 7897.09 3506.15 0 -1 30735 30735 43267
./instancias/reduzido/i640-314_sft 1e+09 7897.36 3497.99 0 -1 30735 30735 43267
./instancias/reduzido/i640-314_sft 1e+09 7897.25 3509.2 0 -1 30735 30735 43267
./instancias/reduzido/i640-314_sft 1e+09 7897.43 3515.71 0 -1 30735 30735 43267
./instancias/reduzido/i640-314_sft 1e+09 7897.7 3485.81 0 -1 30735 30735 43267
./instancias/reduzido/i640-315_sft 1e+09 7897.32 3522.63 0 -1 30664.8 30664.8 43502
./instancias/reduzido/i640-315_sft 1e+09 7898.22 3550.52 0 -1 30664.8 30664.8 43502
./instancias/reduzido/i640-315_sft 1e+09 7897.38 3564.65 0 -1 30664.8 30664.8 43502
./instancias/reduzido/i640-315_sft 1e+09 7897.74 3429.55 0 -1 30620.7 30620.7 42148
./instancias/reduzido/i640-315_sft 1e+09 7898.27 3579.42 0 -1 30653.8 30653.8 43201
./instancias/reduzido/i640-331_sft 1e+09 7896.56 3590.3 0 -1 40307 40307 87050
./instancias/reduzido/i640-331_sft 1e+09 7895.9 3579.09 0 -1 40362.9 40362.9 90122
./instancias/reduzido/i640-331_sft 1e+09 7896.16 3518.33 0 -1 40219.3 40219.3 82409
./instancias/reduzido/i640-331_sft 1e+09 7895.9 3568.22 0 -1 40362.9 40362.9 90122
./instancias/reduzido/i640-332_sft 1e+09 7895.9 3468.97 0 -1 39881.3 39881.3 83786
./instancias/reduzido/i640-332_sft 1e+09 7896.13 3585.77 0 -1 39881.3 39881.3 83786
./instancias/reduzido/i640-332_sft 1e+09 7895.94 3464.23 0 -1 39881.3 39881.3 83786
./instancias/reduzido/i640-332_sft 1e+09 7895.85 3476.91 0 -1 39996.2 39996.2 89711
./instancias/reduzido/i640-332_sft 1e+09 7895.77 3594.47 0 -1 40030.4 40030.4 91133
./instancias/reduzido/i640-333_sft 1e+09 7895.71 3579.69 0 -1 39749.9 39749.9 94787
./instancias/reduzido/i640-333_sft 1e+09 7895.74 3572.41 0 -1 39749.9 39749.9 94787
./instancias/reduzido/i640-333_sft 1e+09 7895.83 3589.53 0 -1 39749.9 39749.9 94787
./instancias/reduzido/i640-333_sft 1e+09 7895.72 3585.82 0 -1 39749.9 39749.9 94787
./instancias/reduzido/i640-333_sft 1e+09 7895.84 3518.28 0 -1 39728.5 39728.5 93291
./instancias/reduzido/i640-334_sft 1e+09 7895.79 3464.71 0 -1 39607.4 39607.4 86805
./instancias/reduzido/i640-334_sft 1e+09 7895.79 3450.25 0 -1 39607.4 39607.4 86805
./instancias/reduzido/i640-334_sft 1e+09 7895.72 3437.31 0 -1 39607.4 39607.4 86805
./instancias/reduzido/i640-334_sft 1e+09 7895.77 3452.32 0 -1 39607.4 39607.4 86805
./instancias/reduzido/i640-334_sft 1e+09 7895.65 3426.61 0 -1 39607.4 39607.4 86805
./instancias/reduzido/i640-335_sft 1e+09 7895.65 3491.11 0 -1 40435.3 40435.3 88382
./instancias/reduzido/i640-335_sft 1e+09 7895.67 3492.53 0 -1 40435.3 40435.3 88382
./instancias/reduzido/i640-335_sft 1e+09 7895.73 3488.24 0 -1 40435.3 40435.3 88382
./instancias/reduzido/i640-335_sft 1e+09 7895.81 3491.25 0 -1 40435.3 40435.3 88382
./instancias/reduzido/i640-335_sft 1e+09 7895.94 3489.01 0 -1 40435.3 40435.3 88382
