Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/reduzido/i640-311_sft 1e+09 7898.86 3465.12 0 -1 31031.7 31031.7 47053
./instancias/reduzido/i640-311_sft 1e+09 7898 3303.88 0 -1 31037.7 31037.7 47248
./instancias/reduzido/i640-311_sft 1e+09 7898.37 3318.21 0 -1 31037.7 31037.7 47248
./instancias/reduzido/i640-311_sft 1e+09 7898.81 3322.9 0 -1 31037.7 31037.7 47248
./instancias/reduzido/i640-311_sft 1e+09 7897.87 3311.01 0 -1 31037.7 31037.7 47248
./instancias/reduzido/i640-312_sft 1e+09 7898.47 3459.89 0 -1 30866.3 30866.3 44289
./instancias/reduzido/i640-312_sft 1e+09 7897.91 3590.32 0 -1 30872.9 30872.9 44461
./instancias/reduzido/i640-312_sft 1e+09 7898.1 3594.46 0 -1 30872.9 30872.9 44461
./instancias/reduzido/i640-312_sft 1e+09 7897.93 3473.13 0 -1 30866.3 30866.3 44289
./instancias/reduzido/i640-312_sft 1e+09 7898.02 3590.86 0 -1 30872.9 30872.9 44461
./instancias/reduzido/i640-313_sft 1e+09 7897.9 3463.26 0 -1 30725.1 30725.1 43813
./instancias/reduzido/i640-313_sft 1e+09 7898.82 3567.37 0 -1 30732.1 30732.1 43979
./instancias/reduzido/i640-313_sft 1e+09 7897.56 3545.92 0 -1 30739.8 30739.8 44159
./instancias/reduzido/i640-313_sft 1e+09 7898.69 3545.21 0 -1 30739.8 30739.8 44159
./instancias/reduzido/i640-313_sft 1e+09 7897.65 3549.71 0 -1 30739.8 30739.8 44159
./instancias/reduzido/i640-314_sft 1e+09 7896.9 3536.62 0 -1 30735 30735 43267
./instancias/reduzido/i640-314_sft 1e+09 7897.7 3510.27 0 -1 30735 30735 43267
./instancias/reduzido/i640-314_sft 1e+09 7897.58 3484.91 0 -1 30735 30735 43267
./instancias/reduzido/i640-314_sft 1e+09 7896.82 3496.36 0 -1 30735 30735 43267
./instancias/reduzido/i640-314_sft 1e+09 7897.03 3491.69 0 -1 30735 30735 43267
./instancias/reduzido/i640-315_sft 1e+09 7897.83 3541.39 0 -1 30664.8 30664.8 43502
./instancias/reduzido/i640-315_sft 1e+09 7897.57 3596.24 0 -1 30664.8 30664.8 43502
./instancias/reduzido/i640-315_sft 1e+09 7897.67 3571.32 0 -1 30641.6 30641.6 42860
./instancias/reduzido/i640-315_sft 1e+09 7898.5 3552.31 0 -1 30637 30637 42675
./instancias/reduzido/i640-315_sft 1e+09 7898.16 3477.38 0 -1 30625.5 30625.5 42322
./instancias/reduzido/i640-331_sft 1e+09 7896.18 3579.2 0 -1 40362.9 40362.9 90122
./instancias/reduzido/i640-331_sft 1e+09 7896.13 3461.84 0 -1 40276.9 40276.9 85359
./instancias/reduzido/i640-331_sft 1e+09 7896.48 3547.18 0 -1 40276.9 40276.9 85359
./instancias/reduzido/i640-331_sft 1e+09 7895.85 3577.84 0 -1 40362.9 40362.9 90122
./instancias/reduzido/i640-332_sft 1e+09 7896.05 3550.99 0 -1 39881.3 39881.3 83786
./instancias/reduzido/i640-332_sft 1e+09 7895.91 3496.32 0 -1 39996.2 39996.2 89711
./instancias/reduzido/i640-332_sft 1e+09 7895.93 3594.39 0 -1 39996.2 39996.2 89711
./instancias/reduzido/i640-332_sft 1e+09 7895.81 3475.83 0 -1 39996.2 39996.2 89711
./instancias/reduzido/i640-332_sft 1e+09 7895.84 3479.45 0 -1 39996.2 39996.2 89711
./instancias/reduzido/i640-333_sft 1e+09 7895.83 3571.01 0 -1 39708.1 39708.1 91904
./instancias/reduzido/i640-333_sft 1e+09 7895.78 3568.61 0 -1 39749.9 39749.9 94787
./instancias/reduzido/i640-333_sft 1e+09 7895.91 3571.63 0 -1 39749.9 39749.9 94787
./instancias/reduzido/i640-333_sft 1e+09 7895.76 3583.26 0 -1 39749.9 39749.9 94787
./instancias/reduzido/i640-333_sft 1e+09 7895.77 3500.19 0 -1 39728.5 39728.5 93291
./instancias/reduzido/i640-334_sft 1e+09 7895.86 3453.54 0 -1 39607.4 39607.4 86805
./instancias/reduzido/i640-334_sft 1e+09 7895.79 3429.04 0 -1 39607.4 39607.4 86805
./instancias/reduzido/i640-334_sft 1e+09 7895.81 3437.44 0 -1 39607.4 39607.4 86805
./instancias/reduzido/i640-334_sft 1e+09 7895.74 3428.79 0 -1 39607.4 39607.4 86805
./instancias/reduzido/i640-334_sft 1e+09 7895.79 3434.34 0 -1 39607.4 39607.4 86805
./instancias/reduzido/i640-335_sft 1e+09 7895.75 3487.42 0 -1 40435.3 40435.3 88382
./instancias/reduzido/i640-335_sft 1e+09 7895.72 3590.99 0 -1 40464.8 40464.8 89863
./instancias/reduzido/i640-335_sft 1e+09 7895.81 3487.61 0 -1 40435.3 40435.3 88382
./instancias/reduzido/i640-335_sft 1e+09 7895.85 3589.63 0 -1 40464.8 40464.8 89863
./instancias/reduzido/i640-335_sft 1e+09 7895.82 3589.54 0 -1 40464.8 40464.8 89863
