Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/reduzido/i160-341_sft 7503 2059.44 1865.62 8427 233 5900.62 6153 49841
./instancias/reduzido/i160-341_sft 7493 2103.98 1918.4 7326 4872 5900.62 6145.5 49610
./instancias/reduzido/i160-341_sft 7504 2076.78 1913.78 6333 2804 5900.62 6162.5 41816
./instancias/reduzido/i160-341_sft 7504 2075.42 1914.27 6322 2804 5900.62 6162.5 41701
./instancias/reduzido/i160-341_sft 7504 2076.26 1913.46 6330 2804 5900.62 6162.5 41801
./instancias/reduzido/i160-341_sft 7499 2106.32 1920.33 7429 3165 5900.62 6154.25 49822
./instancias/reduzido/i160-341_sft 7499 2105.57 1914.9 7166 3165 5900.62 6152.5 48218
./instancias/reduzido/i160-341_sft 7491 2074.23 1876.63 7671 1272 5900.62 6154.5 47612
./instancias/reduzido/i160-341_sft 7491 2134.42 1936.7 6236 1333 5900.62 6146.5 42540
./instancias/reduzido/i160-341_sft 7503 2061.34 1860.58 7983 233 5900.62 6148.5 48291
./instancias/reduzido/i160-342_sft 7571 2057.43 1939.34 3756 1595 5904.75 6282.25 32663
./instancias/reduzido/i160-342_sft 7489 2053.49 1923.59 4538 106 5904.75 6327.83 34718
./instancias/reduzido/i160-342_sft 7485 2036.34 1932.06 2974 103 5904.75 6292 29995
./instancias/reduzido/i160-342_sft 7485 2037.86 1933.7 2978 103 5904.75 6292 30056
./instancias/reduzido/i160-342_sft 7489 2053.85 1923.92 4538 106 5904.75 6327.83 34718
./instancias/reduzido/i160-342_sft 7489 2050.86 1921.16 4520 106 5904.75 6327.83 34615
./instancias/reduzido/i160-342_sft 7489 2051.62 1921.45 4533 106 5904.75 6327.83 34695
./instancias/reduzido/i160-342_sft 7485 2038.04 1934.52 2968 103 5904.75 6292 29984
./instancias/reduzido/i160-342_sft 7485 2039.8 1935.99 2988 103 5904.75 6292 30157
./instancias/reduzido/i160-342_sft 7489 2052.17 1922.74 4538 106 5904.75 6327.83 34718
./instancias/reduzido/i160-343_sft 7560 2056.48 1779.56 11948 132 5920 6333.5 67423
./instancias/reduzido/i160-343_sft 7559 2060.91 1754.75 13853 154 5920 6296.75 80082
./instancias/reduzido/i160-343_sft 7554 2051.28 1755.36 13366 120 5920 6349.5 75890
./instancias/reduzido/i160-343_sft 7559 2060.38 1755.32 13868 154 5920 6296.75 80143
./instancias/reduzido/i160-343_sft 7560 2057.36 1780.33 12178 132 5920 6333.75 68463
./instancias/reduzido/i160-343_sft 7753 2034.97 1668.45 18332 5597 5920 6311 84236
./instancias/reduzido/i160-343_sft 7560 2039.11 1700.66 15700 154 5920 6275.25 79610
./instancias/reduzido/i160-343_sft 7554 2054.59 1811.27 10052 130 5920 6290 68498
./instancias/reduzido/i160-343_sft 7554 2054.62 1761.3 13551 121 5920 6349.5 79682
./instancias/reduzido/i160-343_sft 7554 2055.44 1811.7 10093 130 5920 6290 68625
./instancias/reduzido/i160-344_sft 7637 2016.79 1694.65 16450 152 5952.75 6335.5 66319
./instancias/reduzido/i160-344_sft 7637 2040.96 1746.78 14275 170 5952.75 6330.75 67177
./instancias/reduzido/i160-344_sft 7637 2027.85 1714.04 15564 169 5952.75 6334.5 71786
./instancias/reduzido/i160-344_sft 7637 2026.73 1772.12 12103 153 5952.75 6323.5 59714
./instancias/reduzido/i160-344_sft 7637 2027.9 1714.94 15585 169 5952.75 6334.5 71847
./instancias/reduzido/i160-344_sft 7841 2069.26 1934.78 4976 237 5952.75 6241.5 30259
./instancias/reduzido/i160-344_sft 7637 2017.01 1698.09 15427 158 5952.75 6313 69228
./instancias/reduzido/i160-344_sft 7841 2067.83 1932.37 4976 237 5952.75 6241.5 30238
./instancias/reduzido/i160-344_sft 7637 2051.61 1813.36 11005 159 5952.75 6319.75 58780
./instancias/reduzido/i160-344_sft 7637 2015.06 1692.93 16450 152 5952.75 6335.5 66261
./instancias/reduzido/i160-345_sft 7356 2072 1913.53 6547 147 5891.75 6107 40436
./instancias/reduzido/i160-345_sft 7356 2074.82 1916.55 6548 147 5891.75 6107 40634
./instancias/reduzido/i160-345_sft 7356 2070.49 1912.58 6849 153 5891.75 6106.5 41936
./instancias/reduzido/i160-345_sft 7356 2050.96 1873.6 8609 153 5891.75 6109.5 44571
./instancias/reduzido/i160-345_sft 7356 2058.01 1846.82 10321 141 5891.75 6105.75 53759
./instancias/reduzido/i160-345_sft 7451 2108.7 1958.55 6088 1158 5891.75 6097.5 44668
./instancias/reduzido/i160-345_sft 7529 2049.67 1899.46 6701 160 5891.75 6095.5 40384
./instancias/reduzido/i160-345_sft 7455 2100.71 1966.87 4738 154 5891.75 6090 39073
./instancias/reduzido/i160-345_sft 7356 2050.81 1852.96 10210 151 5891.75 6115 50191
./instancias/reduzido/i160-345_sft 7517 2067.37 1884.31 8635 167 5891.75 6100 45193
./instancias/reduzido/i320-011_sft 1854 0.155356 0.037421 7 6 1618.83 1854 94
./instancias/reduzido/i320-011_sft 1854 0.156322 0.037761 7 6 1618.83 1854 94
./instancias/reduzido/i320-011_sft 1854 0.157224 0.037654 7 6 1618.83 1854 94
./instancias/reduzido/i320-011_sft 1854 0.158441 0.038286 7 6 1618.83 1854 94
./instancias/reduzido/i320-011_sft 1854 0.159724 0.037681 7 6 1618.83 1854 94
./instancias/reduzido/i320-011_sft 1854 0.162044 0.037635 7 6 1618.83 1854 94
./instancias/reduzido/i320-011_sft 1854 0.155139 0.037709 7 6 1618.83 1854 94
./instancias/reduzido/i320-011_sft 1854 0.178437 0.042063 7 6 1618.83 1854 94
./instancias/reduzido/i320-011_sft 1854 0.197464 0.047078 7 6 1618.83 1854 94
./instancias/reduzido/i320-011_sft 1854 0.177469 0.042833 7 6 1618.83 1854 94
./instancias/reduzido/i320-014_sft 1858 0.180324 0.100158 11 7 1576 1858 185
./instancias/reduzido/i320-014_sft 1858 0.178285 0.097992 11 7 1576 1858 185
./instancias/reduzido/i320-014_sft 1858 0.228904 0.130737 11 7 1576 1858 185
./instancias/reduzido/i320-014_sft 1858 0.189791 0.107807 11 7 1576 1858 185
./instancias/reduzido/i320-014_sft 1858 0.194767 0.10962 11 7 1576 1858 185
./instancias/reduzido/i320-014_sft 1858 0.175024 0.097641 11 7 1576 1858 185
./instancias/reduzido/i320-014_sft 1858 0.181257 0.101764 11 7 1576 1858 185
./instancias/reduzido/i320-014_sft 1858 0.179669 0.100804 11 7 1576 1858 185
./instancias/reduzido/i320-014_sft 1858 0.179715 0.09958 11 7 1576 1858 185
./instancias/reduzido/i320-014_sft 1858 0.182315 0.101466 11 7 1576 1858 185
./instancias/reduzido/i320-015_sft 1781 0.138991 0.02933 4 3 1586.75 1781 83
./instancias/reduzido/i320-015_sft 1781 0.142343 0.029573 4 3 1586.75 1781 83
./instancias/reduzido/i320-015_sft 1781 0.139111 0.029881 4 3 1586.75 1781 83
./instancias/reduzido/i320-015_sft 1781 0.136586 0.0297 4 3 1586.75 1781 83
./instancias/reduzido/i320-015_sft 1781 0.137101 0.029919 4 3 1586.75 1781 83
./instancias/reduzido/i320-015_sft 1781 0.139058 0.030036 4 3 1586.75 1781 83
./instancias/reduzido/i320-015_sft 1781 0.13688 0.029662 4 3 1586.75 1781 83
./instancias/reduzido/i320-015_sft 1781 0.138689 0.029569 4 3 1586.75 1781 83
./instancias/reduzido/i320-015_sft 1781 0.136393 0.029586 4 3 1586.75 1781 83
./instancias/reduzido/i320-015_sft 1781 0.136891 0.029199 4 3 1586.75 1781 83
./instancias/experimentos/i320-031_sft 2577 0.337937 0.173609 14 13 2095.5 2577 310
./instancias/experimentos/i320-031_sft 2577 0.350003 0.180718 14 13 2095.5 2577 310
./instancias/experimentos/i320-031_sft 2577 0.334918 0.172841 14 13 2095.5 2577 310
./instancias/experimentos/i320-031_sft 2577 0.416517 0.218902 14 13 2095.5 2577 310
./instancias/experimentos/i320-031_sft 2577 0.294386 0.150736 14 13 2095.5 2577 310
./instancias/experimentos/i320-031_sft 2577 0.314361 0.161533 14 13 2095.5 2577 310
./instancias/experimentos/i320-031_sft 2577 0.304758 0.155372 14 13 2095.5 2577 310
./instancias/experimentos/i320-031_sft 2577 0.318226 0.164125 14 13 2095.5 2577 310
./instancias/experimentos/i320-031_sft 2577 0.401179 0.20896 14 13 2095.5 2577 310
./instancias/experimentos/i320-031_sft 2577 0.438323 0.216957 14 13 2095.5 2577 310
./instancias/experimentos/i320-032_sft 2379 0.504978 0.332313 11 6 2192 2379 349
./instancias/experimentos/i320-032_sft 2379 0.512956 0.336428 11 6 2192 2379 349
./instancias/experimentos/i320-032_sft 2379 0.335212 0.218265 11 6 2192 2379 349
./instancias/experimentos/i320-032_sft 2379 0.342197 0.222982 11 6 2192 2379 349
./instancias/experimentos/i320-032_sft 2379 0.335281 0.218713 11 6 2192 2379 349
./instancias/experimentos/i320-032_sft 2379 0.33742 0.221254 11 6 2192 2379 349
./instancias/experimentos/i320-032_sft 2379 0.352968 0.231217 11 6 2192 2379 349
./instancias/experimentos/i320-032_sft 2379 0.359295 0.235727 11 6 2192 2379 349
./instancias/experimentos/i320-032_sft 2379 0.363971 0.239019 11 6 2192 2379 349
./instancias/experimentos/i320-032_sft 2379 0.362101 0.237457 11 6 2192 2379 349
./instancias/experimentos/i320-043_sft 1372 0.317404 0.04165 5 3 1281 1372 65
./instancias/experimentos/i320-043_sft 1372 0.327211 0.043253 5 3 1281 1372 65
./instancias/experimentos/i320-043_sft 1372 0.316853 0.041506 5 3 1281 1372 65
./instancias/experimentos/i320-043_sft 1372 0.325939 0.042176 5 3 1281 1372 65
./instancias/experimentos/i320-043_sft 1372 0.309826 0.041748 5 3 1281 1372 65
./instancias/experimentos/i320-043_sft 1372 0.316068 0.041432 5 3 1281 1372 65
./instancias/experimentos/i320-043_sft 1372 0.317202 0.042008 5 3 1281 1372 65
./instancias/experimentos/i320-043_sft 1372 0.326689 0.042384 5 3 1281 1372 65
./instancias/experimentos/i320-043_sft 1372 0.326226 0.043137 5 3 1281 1372 65
./instancias/experimentos/i320-043_sft 1372 0.320996 0.042383 5 3 1281 1372 65
./instancias/experimentos/i320-111_sft 4241 0.470102 0.124468 26 25 3451.5 4241 444
./instancias/experimentos/i320-111_sft 4241 0.475382 0.12639 26 25 3451.5 4241 444
./instancias/experimentos/i320-111_sft 4241 0.474213 0.125068 26 25 3451.5 4241 444
./instancias/experimentos/i320-111_sft 4241 0.530381 0.147118 26 25 3451.5 4241 444
./instancias/experimentos/i320-111_sft 4241 0.593712 0.165816 26 25 3451.5 4241 444
./instancias/experimentos/i320-111_sft 4241 0.489546 0.128602 26 25 3451.5 4241 444
./instancias/experimentos/i320-111_sft 4241 0.495583 0.132782 26 25 3451.5 4241 444
./instancias/experimentos/i320-111_sft 4241 0.508045 0.137181 26 25 3451.5 4241 444
./instancias/experimentos/i320-111_sft 4241 0.490438 0.131704 26 25 3451.5 4241 444
./instancias/experimentos/i320-111_sft 4241 0.582323 0.15824 26 25 3451.5 4241 444
./instancias/experimentos/i320-112_sft 3674 0.831313 0.186615 13 12 3312.4 3674 625
./instancias/experimentos/i320-112_sft 3674 0.744419 0.165932 13 12 3312.4 3674 625
./instancias/experimentos/i320-112_sft 3674 0.811553 0.185386 13 12 3312.4 3674 625
./instancias/experimentos/i320-112_sft 3674 0.866452 0.194688 13 12 3312.4 3674 625
./instancias/experimentos/i320-112_sft 3674 0.706352 0.158132 13 12 3312.4 3674 625
./instancias/experimentos/i320-112_sft 3674 0.767583 0.170018 13 12 3312.4 3674 625
./instancias/experimentos/i320-112_sft 3674 0.753128 0.169011 13 12 3312.4 3674 625
./instancias/experimentos/i320-112_sft 3674 0.749299 0.167893 13 12 3312.4 3674 625
./instancias/experimentos/i320-112_sft 3674 0.703389 0.158095 13 12 3312.4 3674 625
./instancias/experimentos/i320-112_sft 3674 0.708159 0.157959 13 12 3312.4 3674 625
./instancias/experimentos/i320-113_sft 3742 2.49983 1.50079 21 19 3152.31 3742 1154
./instancias/experimentos/i320-113_sft 3742 1.53822 0.506249 71 19 3152.31 3742 881
./instancias/experimentos/i320-113_sft 3742 2.43117 1.51817 21 19 3152.31 3742 1154
./instancias/experimentos/i320-113_sft 3742 3.7024 1.55936 180 175 3152.31 3742 1445
./instancias/experimentos/i320-113_sft 3742 2.13206 1.32811 21 19 3152.31 3742 1154
./instancias/experimentos/i320-113_sft 3742 2.87764 1.14244 180 175 3152.31 3742 1445
./instancias/experimentos/i320-113_sft 3742 2.12119 1.31943 21 19 3152.31 3742 1154
./instancias/experimentos/i320-113_sft 3742 2.12601 1.31464 21 19 3152.31 3742 1154
./instancias/experimentos/i320-113_sft 3742 2.66021 1.05232 180 175 3152.31 3742 1445
./instancias/experimentos/i320-113_sft 3742 0.971785 0.304604 71 19 3152.31 3742 881
./instancias/experimentos/i320-114_sft 3758 0.478778 0.111768 17 16 3238.5 3758 428
./instancias/experimentos/i320-114_sft 3758 0.516699 0.12015 17 16 3238.5 3758 428
./instancias/experimentos/i320-114_sft 3758 0.473682 0.111398 17 16 3238.5 3758 428
./instancias/experimentos/i320-114_sft 3758 0.486091 0.114303 17 16 3238.5 3758 428
./instancias/experimentos/i320-114_sft 3758 0.477071 0.111287 17 16 3238.5 3758 428
./instancias/experimentos/i320-114_sft 3758 0.494721 0.115061 17 16 3238.5 3758 428
./instancias/experimentos/i320-114_sft 3758 0.478718 0.111877 17 16 3238.5 3758 428
./instancias/experimentos/i320-114_sft 3758 0.479334 0.111941 17 16 3238.5 3758 428
./instancias/experimentos/i320-114_sft 3758 0.480413 0.111856 17 16 3238.5 3758 428
./instancias/experimentos/i320-114_sft 3758 0.474986 0.110991 17 16 3238.5 3758 428
./instancias/experimentos/i320-115_sft 4138 167.922 151.504 4058 3582 3170 4137.12 8834
./instancias/experimentos/i320-115_sft 4138 165.941 149.662 4058 3582 3170 4137.12 8834
./instancias/experimentos/i320-115_sft 4138 168.093 151.446 4058 3582 3170 4137.12 8834
./instancias/experimentos/i320-115_sft 4138 176.639 159.428 4058 3582 3170 4137.12 8834
./instancias/experimentos/i320-115_sft 4138 168.049 151.502 4058 3582 3170 4137.12 8834
./instancias/experimentos/i320-115_sft 4138 167.779 151.216 4058 3582 3170 4137.12 8834
./instancias/experimentos/i320-115_sft 4138 165.711 149.267 4058 3582 3170 4137.12 8834
./instancias/experimentos/i320-115_sft 4138 167.926 151.369 4058 3582 3170 4137.12 8834
./instancias/experimentos/i320-115_sft 4138 177.206 159.601 4058 3582 3170 4137.12 8834
./instancias/experimentos/i320-115_sft 4138 167.704 151.223 4058 3582 3170 4137.12 8834
./instancias/experimentos/i320-135_sft 5573 2.21756 1.54183 33 30 4286.56 5573 1360
./instancias/experimentos/i320-135_sft 5573 2.44626 1.70373 33 30 4286.56 5573 1360
./instancias/experimentos/i320-135_sft 5573 2.2387 1.55794 33 30 4286.56 5573 1360
./instancias/experimentos/i320-135_sft 5573 2.22235 1.53868 33 30 4286.56 5573 1360
./instancias/experimentos/i320-135_sft 5573 2.19929 1.52371 33 30 4286.56 5573 1360
./instancias/experimentos/i320-135_sft 5573 2.47931 1.72682 33 30 4286.56 5573 1360
./instancias/experimentos/i320-135_sft 5573 2.22685 1.54776 33 30 4286.56 5573 1360
./instancias/experimentos/i320-135_sft 5573 2.23559 1.55202 33 30 4286.56 5573 1360
./instancias/experimentos/i320-135_sft 5573 2.44737 1.70326 33 30 4286.56 5573 1360
./instancias/experimentos/i320-135_sft 5573 2.41822 1.67684 33 30 4286.56 5573 1360
./instancias/experimentos/i320-141_sft 3278 37.7938 9.82297 1168 26 2587.25 3277.5 3218
./instancias/experimentos/i320-141_sft 3278 37.207 9.70084 1168 26 2587.25 3277.5 3218
./instancias/experimentos/i320-141_sft 3278 37.2503 9.7015 1168 26 2587.25 3277.5 3218
./instancias/experimentos/i320-141_sft 3278 37.3058 9.70525 1168 26 2587.25 3277.5 3218
./instancias/experimentos/i320-141_sft 3278 37.2966 9.71604 1168 26 2587.25 3277.5 3218
./instancias/experimentos/i320-141_sft 3278 38.1529 10.1398 1168 26 2587.25 3277.5 3218
./instancias/experimentos/i320-141_sft 3278 37.7335 9.79069 1168 26 2587.25 3277.5 3218
