Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
i160-341_sft 7397 1115.18 1112.81 9 6 7390.5 7397 15983
i160-342_sft 1e+09 1801.85 1797.4 0 -1 7478.3 7478.3 18157
i160-343_sft 1e+09 1801.1 1795.41 0 -1 7528.22 7528.22 17524
i160-344_sft 1e+09 1801.54 1799.31 0 -1 7568.65 7568.65 17464
i160-345_sft 7356 1391.29 1388.76 9 6 7352 7356 15850
i320-011_sft 1e+09 1803.33 1800.9 29 -1 1742.11 1825.04 9191
i320-014_sft 1e+09 1804.25 1798.21 6 -1 1743.23 1812.42 9048
i320-015_sft 1781 1802.29 1784.36 9 7 1663.52 1766.14 6721
i320-031_sft 1e+09 1819.39 1816.81 99 -1 2413.95 2528.55 14411
i320-032_sft 2379 451.385 449.747 19 14 2255.99 2379 6371
i320-043_sft 1e+09 1802.23 1797.93 0 -1 1296.26 1296.26 3726
i320-111_sft 1e+09 1801.03 1794.67 1 -1 3871.45 3872.11 20560
i320-112_sft 1e+09 1804.3 1799.72 4 -1 3621.67 3662.54 20546
i320-113_sft 1e+09 1801.49 1798.76 1 -1 3610.65 3610.89 19626
i320-114_sft 1e+09 1802.34 1799.19 1 -1 3594.92 3595.15 19656
i320-115_sft 1e+09 1800.53 1795.64 0 -1 3759.74 3759.74 23545
i320-135_sft 1e+09 1809.86 1806.44 95 -1 5160.37 5223.2 32133
i320-141_sft 1e+09 1807.3 1804.24 0 -1 2724.68 2724.68 7463
i320-145_sft 1e+09 1809.81 1806.87 0 -1 2683.76 2683.76 7261
i320-205_sft 1e+09 1807.5 1800.38 108 -1 10118.7 10176.5 38638
i320-211_sft 1e+09 1801.09 1785.64 0 -1 6912.73 6912.73 22870
i320-212_sft 1e+09 1804.35 1803.11 0 -1 7025.13 7025.13 22551
i320-213_sft 1e+09 1803.26 1792.31 0 -1 6794.04 6794.04 22317
i320-214_sft 1e+09 1802.02 1789.32 0 -1 6996.92 6996.92 21507
i320-215_sft 1e+09 1801.2 1793.09 0 -1 7064.69 7064.69 26100
i320-221_sft 1e+09 1806.57 1768.2 0 -1 3396.97 3396.97 2941
i320-222_sft 1e+09 1808.88 1788.41 0 -1 3486 3486 4556
i320-223_sft 1e+09 1808.8 1799.78 0 -1 3460 3460 4216
i320-224_sft 1e+09 1806.99 1801.47 0 -1 3414 3410 3377
i320-225_sft 1e+09 1806.57 1749.09 0 -1 3402 3401 3026
i320-231_sft 1e+09 1801.59 1795.26 1 -1 9546.17 9546.28 80859
i320-232_sft 1e+09 1804.75 1773.04 8 -1 9217.98 9251.8 61089
i320-241_sft 1e+09 1812.56 1795.49 0 -1 5360.5 5360.5 12827
i320-242_sft 1e+09 1809.11 1797.75 0 -1 5337.5 5337.5 12473
i320-243_sft 1e+09 1810.19 1802.1 0 -1 5353.21 5353.21 12228
i320-244_sft 1e+09 1810.49 1795.22 0 -1 5346.61 5346.61 12408
i320-245_sft 1e+09 1814.22 1800.56 0 -1 5359.5 5359.5 12456
i320-305_sft 1e+09 1803.9 1768.61 71 -1 22170.2 22170.3 82712
i320-311_sft 1e+09 1801.77 1781.18 0 -1 16030.6 16030.6 31135
i320-312_sft 1e+09 1800.73 1789.73 0 -1 15852.6 15852.6 31716
i320-313_sft 1e+09 1800.89 1793.88 0 -1 15870.5 15870.5 30598
i320-314_sft 1e+09 1805.91 1779.8 0 -1 15863.9 15863.9 28105
i320-315_sft 1e+09 1801.44 1799.42 0 -1 15879.9 15879.9 29711
i320-321_sft 1e+09 1818.72 1785.22 0 -1 7976 7913 6424
i320-322_sft 1e+09 1819.79 1796.59 0 -1 7992 7987 6812
i320-323_sft 1e+09 1821.97 1754.32 0 -1 7939 7927 5664
i320-324_sft 1e+09 1820.61 1786.61 0 -1 7926.09 7926.09 5471
i320-325_sft 1e+09 1818.14 1667.3 0 -1 7962 7922 6165
i320-331_sft 1e+09 1801.72 1790.36 6 -1 21004.9 21027.5 80286
i320-332_sft 1e+09 1801.27 1794.27 0 -1 20958.7 20958.7 101000
i320-333_sft 1e+09 1800.97 1789.45 3 -1 20579.1 20579.1 108117
i320-335_sft 1e+09 1802.19 1789.83 1 -1 20637.6 20637.6 102663
i320-341_sft 1e+09 1822.23 1792.9 0 -1 12420.1 12420.1 24045
i320-342_sft 1e+09 1814.31 1796.98 0 -1 12364.3 12364.3 23649
i320-343_sft 1e+09 1820.94 1787.64 0 -1 12381.8 12381.8 23332
i320-344_sft 1e+09 1821.12 1789.07 0 -1 12392 12392 23426
i320-345_sft 1e+09 1817.07 1792.63 0 -1 12402.1 12402.1 23744
i640-015_sft 1e+09 1804.08 1799.14 6 -1 1886.37 1894.12 10242
i640-022_sft 1e+09 1807.32 1797.16 0 -1 875 874 595
i640-024_sft 1e+09 1807.74 1686.55 0 -1 875 874 650
i640-042_sft 1e+09 1801.06 1770.23 0 -1 1319.99 1319.99 2570
i640-043_sft 1e+09 1800.9 1790.03 0 -1 1321.39 1321.39 2810
i640-044_sft 1e+09 1801.65 1790.65 0 -1 1325.19 1325.19 3010
i640-105_sft 1e+09 1802.53 1800.23 1 -1 8937.81 8938.05 46736
i640-111_sft 1e+09 1801.17 1786.62 0 -1 5086.24 5086.24 18398
i640-112_sft 1e+09 1802.93 1790.5 0 -1 5149.51 5149.51 17810
i640-113_sft 1e+09 1802.86 1792.18 0 -1 5093.31 5093.31 18493
i640-114_sft 1e+09 1802.39 1798.65 1 -1 4931.68 4932.17 16954
i640-115_sft 1e+09 1802.8 1787.52 0 -1 5071.75 5071.75 17813
i640-121_sft 1e+09 1820.78 1682.29 0 -1 2419 2419 1170
i640-122_sft 1e+09 1819.6 1730.93 0 -1 2411 2409 1040
i640-123_sft 1e+09 1818.63 1778.32 0 -1 2411.63 2411.63 1027
i640-124_sft 1e+09 1821 1758.14 0 -1 2417 2417 1092
i640-125_sft 1e+09 1819.83 1672.75 0 -1 2417 2417 1092
i640-132_sft 1e+09 1801.13 1793.85 0 -1 7521 7521 32128
i640-135_sft 1e+09 1801.72 1797.62 0 -1 7183.81 7183.81 32567
i640-141_sft 1e+09 1805.68 1798.36 0 -1 3503.48 3503.48 3952
i640-142_sft 1e+09 1805.53 1799.1 0 -1 3496.37 3496.37 4043
i640-143_sft 1e+09 1808.63 1799.07 0 -1 3557.66 3557.66 5213
i640-144_sft 1e+09 1806.27 1797.13 0 -1 3541.92 3541.92 4433
i640-145_sft 1e+09 1806.46 1796.42 0 -1 3526.51 3526.51 4407
i640-201_sft 1e+09 1801.12 1791.76 0 -1 15290.7 15290.7 58955
i640-205_sft 1e+09 1801.09 1784.79 0 -1 15785.8 15785.8 66955
i640-211_sft 1e+09 1801.52 1797.56 0 -1 9820.41 9820.41 23848
i640-212_sft 1e+09 1801.56 1794.38 0 -1 9736.39 9736.39 24289
i640-213_sft 1e+09 1802.04 1797.75 0 -1 9843.86 9843.86 23537
i640-214_sft 1e+09 1802.21 1794.86 0 -1 9818.5 9818.5 23765
i640-215_sft 1e+09 1801.89 1798.76 0 -1 9893.82 9893.82 23476
i640-221_sft 1e+09 1845.05 1704.53 0 -1 4817.72 4817.72 1950
i640-222_sft 1e+09 1843.83 1796.36 0 -1 4811 0 1900
i640-223_sft 1e+09 1849.82 1774.31 0 -1 4829 4828 2175
i640-224_sft 1e+09 1845.14 1772.46 0 -1 4823 1496 2036
i640-225_sft 1e+09 1845.72 1817.2 0 -1 4826 4826 2050
i640-231_sft 1e+09 1802.84 1790.47 0 -1 13466.9 13466.9 43648
i640-232_sft 1e+09 1801.45 1782.74 0 -1 13590.5 13590.5 49865
i640-233_sft 1e+09 1801.73 1791.84 0 -1 13835.6 13835.6 47825
i640-235_sft 1e+09 1801.04 1789.82 0 -1 13379.5 13379.5 42629
i640-241_sft 1e+09 1814.75 1805.11 0 -1 7046.61 7046.61 9389
i640-242_sft 1e+09 1807.78 1780.25 0 -1 6862.53 6862.53 6375
i640-243_sft 1e+09 1810.98 1800.46 0 -1 7000.78 7000.78 7938
i640-244_sft 1e+09 1810.39 1802.84 0 -1 6918.57 6918.57 6821
