Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade/i080-305_sft 5718 1834.07 1798.78 84061 123 4529 5289.83 23350
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1827.32 1783.01 134456 113 4529 5403 17821
./instancias/sem_suspeita_otimalidade/i080-305_sft 5718 1835.08 1798.73 95996 123 4529 5299.25 24823
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1826.77 1781.72 129115 113 4529 5399.5 17585
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1827.84 1783.75 133241 113 4529 5402 17779
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 1848.37 1830.55 22749 167 3794.5 4488.25 36929
./instancias/sem_suspeita_otimalidade/i080-332_sft 5070 1840.04 1818.3 31097 133 3794.5 4480 32160
./instancias/sem_suspeita_otimalidade/i080-332_sft 1e+09 1857.63 1833.88 28673 -1 3794.5 4416.55 28281
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 1846.41 1827.75 21832 167 3794.5 4485.5 35615
./instancias/sem_suspeita_otimalidade/i080-332_sft 1e+09 1860.27 1836.44 30781 -1 3794.5 4422.5 29506
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 1868.58 1849.31 3674 248 4831.73 5211.83 30112
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 1859.84 1839.91 3520 295 4831.73 5212.44 30339
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 1860.28 1839.86 3496 295 4831.73 5212.22 30153
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 1861.68 1842.66 3918 295 4831.73 5217.76 32947
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 1861.08 1842.15 3992 295 4831.73 5219.2 33219
./instancias/sem_suspeita_otimalidade/i160-332_sft 10633 1874.05 1819.78 9654 328 7830.5 8277.39 45497
./instancias/sem_suspeita_otimalidade/i160-332_sft 10633 1843.34 1786.5 10863 300 7830.5 8285.5 49834
./instancias/sem_suspeita_otimalidade/i160-332_sft 10643 1897.85 1838.3 10370 315 7830.5 8286 49716
./instancias/sem_suspeita_otimalidade/i160-332_sft 10633 1842.76 1788.18 10705 300 7830.5 8284.75 49312
./instancias/sem_suspeita_otimalidade/i160-332_sft 10633 1845.23 1788.54 10931 300 7830.5 8285.5 50053
./instancias/sem_suspeita_otimalidade/i320-205_sft 10479 1856.19 1761.53 15051 278 8183.83 8828 41180
./instancias/sem_suspeita_otimalidade/i320-205_sft 10479 1856.16 1761.77 14545 278 8183.83 8825 40454
./instancias/sem_suspeita_otimalidade/i320-205_sft 10479 1856.13 1761.83 14072 278 8183.83 8822 39811
./instancias/sem_suspeita_otimalidade/i320-205_sft 10479 1856.55 1760.68 13625 278 8183.83 8818.9 38994
./instancias/sem_suspeita_otimalidade/i320-205_sft 1e+09 1855.22 1743.8 17765 -1 8183.83 8844 45732
./instancias/sem_suspeita_otimalidade/i320-231_sft 9711 1822.97 1773.26 2882 356 7452.25 8022 38969
./instancias/sem_suspeita_otimalidade/i320-231_sft 9698 1848.23 1799.53 3155 287 7452.25 8041 40820
./instancias/sem_suspeita_otimalidade/i320-231_sft 9711 1823.91 1774.8 3088 356 7452.25 8024.25 40373
./instancias/sem_suspeita_otimalidade/i320-231_sft 9711 1823.39 1775.96 3085 356 7452.25 8024.25 40328
./instancias/sem_suspeita_otimalidade/i320-231_sft 1e+09 1830.63 1786.41 2731 -1 7452.25 8017.5 39399
./instancias/sem_suspeita_otimalidade/i320-232_sft 9640 1875.06 1829.93 1821 395 7442.21 7880.1 33590
./instancias/sem_suspeita_otimalidade/i320-232_sft 1e+09 1849.21 1815.5 836 -1 7442.21 7848.12 28714
./instancias/sem_suspeita_otimalidade/i320-232_sft 1e+09 1836.92 1795.84 1367 -1 7442.21 7874.63 31076
./instancias/sem_suspeita_otimalidade/i320-232_sft 9725 1833.82 1791.76 1106 411 7442.21 7860.48 27985
./instancias/sem_suspeita_otimalidade/i320-232_sft 9731 1876.48 1824.71 1947 389 7442.21 7893 30690
./instancias/sem_suspeita_otimalidade/i320-305_sft 22598 1846.59 1568.48 12693 1296 16903.3 17589 80503
./instancias/sem_suspeita_otimalidade/i320-305_sft 1e+09 1831.54 1602.96 10680 -1 16903.3 17565 88137
./instancias/sem_suspeita_otimalidade/i320-305_sft 1e+09 1824.76 1536.52 14917 -1 16903.3 17581 94088
./instancias/sem_suspeita_otimalidade/i320-305_sft 22574 1860.53 1602.01 12982 685 16903.3 17560.2 85662
./instancias/sem_suspeita_otimalidade/i320-305_sft 1e+09 1830.05 1565.56 13356 -1 16903.3 17565.5 90042
./instancias/natural_padrao/i320-311_sft 1e+09 1912.55 1715.18 191 -1 12765.2 12773 8140
./instancias/natural_padrao/i320-311_sft 1e+09 1933.91 1661.21 917 -1 12765.2 12775.5 29352
./instancias/natural_padrao/i320-311_sft 1e+09 1991.84 1604.31 2221 -1 12765.2 12791.2 55319
./instancias/natural_padrao/i320-311_sft 1e+09 1914.17 1715.57 166 -1 12765.2 12823.3 8990
./instancias/natural_padrao/i320-311_sft 1e+09 1962.81 1641.44 1222 -1 12765.2 12786.6 36405
./instancias/natural_padrao/i320-312_sft 1e+09 1907.59 1711.65 214 -1 12450.8 12462.2 9428
./instancias/natural_padrao/i320-312_sft 1e+09 1989.93 1663.71 813 -1 12450.8 12469.5 33838
./instancias/natural_padrao/i320-312_sft 1e+09 1947.14 1701.4 258 -1 12450.8 12460.5 15408
./instancias/natural_padrao/i320-312_sft 1e+09 1936.74 1737.6 311 -1 12450.8 12469.9 18644
./instancias/natural_padrao/i320-312_sft 1e+09 1926.11 1712.61 251 -1 12450.8 12462.2 13643
./instancias/natural_padrao/i320-313_sft 1e+09 1903.15 1697.88 270 -1 12402.2 12506.4 11801
./instancias/natural_padrao/i320-313_sft 1e+09 1932.13 1741.63 237 -1 12402.2 12508.2 7893
./instancias/natural_padrao/i320-313_sft 1e+09 1954.05 1695.66 443 -1 12402.2 12509.5 29639
./instancias/natural_padrao/i320-313_sft 1e+09 1931.4 1738.19 221 -1 12402.2 12508.2 7279
./instancias/natural_padrao/i320-313_sft 1e+09 1937.1 1743.25 223 -1 12402.2 12508.2 7391
./instancias/natural_padrao/i320-314_sft 1e+09 1943.61 1688.43 504 -1 12765.8 12779.2 18723
./instancias/natural_padrao/i320-314_sft 1e+09 1975.83 1669.62 1950 -1 12765.8 12801.2 54168
./instancias/natural_padrao/i320-314_sft 1e+09 1943.54 1711.36 570 -1 12765.8 12779.2 19428
./instancias/natural_padrao/i320-314_sft 1e+09 1979.04 1729.59 439 -1 12765.8 12772.5 21242
./instancias/natural_padrao/i320-314_sft 1e+09 1932.97 1668.59 1200 -1 12765.8 12788.5 34365
./instancias/natural_padrao/i320-315_sft 1e+09 1935.68 1694.75 886 -1 12569 12647 24011
./instancias/natural_padrao/i320-315_sft 1e+09 1936.91 1699.71 886 -1 12569 12647 24032
./instancias/natural_padrao/i320-315_sft 1e+09 1932.1 1673.99 886 -1 12569 12647 23874
./instancias/natural_padrao/i320-315_sft 1e+09 1933.91 1678.31 886 -1 12569 12647 23829
./instancias/natural_padrao/i320-315_sft 1e+09 1933.34 1671.44 886 -1 12569 12647 23874
./instancias/natural_padrao/i320-331_sft 1e+09 1847.6 1610.77 6342 -1 15036.5 15597.5 83376
./instancias/natural_padrao/i320-331_sft 21744 1828.92 1637.79 4708 763 15036.5 15523.8 72693
./instancias/natural_padrao/i320-331_sft 1e+09 1861.94 1627.64 6538 -1 15036.5 15528 77776
./instancias/natural_padrao/i320-331_sft 21724 1817.61 1620.1 5525 752 15036.5 15517.5 68409
./instancias/natural_padrao/i320-331_sft 1e+09 1815.77 1563.73 9072 -1 15036.5 15604.3 94762
./instancias/natural_padrao/i320-332_sft 1e+09 1862.94 1672.56 4257 -1 15739.3 16175.8 68656
./instancias/natural_padrao/i320-332_sft 1e+09 1869.57 1669.1 4635 -1 15739.3 16177.4 68264
./instancias/natural_padrao/i320-332_sft 1e+09 1860.38 1631.53 6308 -1 15739.3 16127.8 74172
./instancias/natural_padrao/i320-332_sft 21473 1850.54 1610.78 7146 703 15739.3 16134.5 82831
./instancias/natural_padrao/i320-332_sft 1e+09 1833.08 1673.07 3208 -1 15739.3 16134 55209
./instancias/natural_padrao/i320-333_sft 21002 1823.27 1629.62 3720 1106 14876.8 15366.5 55727
./instancias/natural_padrao/i320-333_sft 1e+09 1796.1 1573.45 4964 -1 14876.8 15419.4 74347
./instancias/natural_padrao/i320-333_sft 21006 1779.46 1615.95 3021 1104 14876.8 15352.5 50791
./instancias/natural_padrao/i320-333_sft 1e+09 1818.92 1616.04 4331 -1 14876.8 15397 61266
./instancias/natural_padrao/i320-333_sft 1e+09 1767.76 1592.12 4099 -1 14876.8 15386 61832
./instancias/natural_padrao/i320-335_sft 1e+09 1850.37 1662.17 4213 -1 15355 15795.2 65588
./instancias/natural_padrao/i320-335_sft 1e+09 1828.04 1635.18 4943 -1 15355 15864 70125
./instancias/natural_padrao/i320-335_sft 1e+09 1813.83 1588.01 6721 -1 15355 15938.2 75316
./instancias/natural_padrao/i320-335_sft 1e+09 1795.77 1596.06 4998 -1 15355 15927.6 69943
./instancias/natural_padrao/i320-335_sft 1e+09 1801.03 1552.19 8436 -1 15355 16002.2 91758
./instancias/natural_padrao/i640-135_sft 7962 1803.54 1768.17 315 277 6038 6183.87 24553
./instancias/natural_padrao/i640-135_sft 7962 1806.12 1770.06 299 277 6038 6183.87 24131
./instancias/natural_padrao/i640-135_sft 7962 1804.15 1768.61 320 277 6038 6183.87 24563
./instancias/natural_padrao/i640-135_sft 7893 1798.09 1761.1 373 329 6038 6179.93 25449
./instancias/natural_padrao/i640-135_sft 7962 1803.8 1768 304 277 6038 6183.87 24213
./instancias/natural_padrao/i640-201_sft 1e+09 1764.77 1662.84 1887 -1 12664.5 13102.9 41330
./instancias/natural_padrao/i640-201_sft 1e+09 1784.88 1733.51 168 -1 12664.5 12866.7 31655
./instancias/natural_padrao/i640-201_sft 1e+09 1779.14 1710.89 441 -1 12664.5 12945.5 36892
./instancias/natural_padrao/i640-201_sft 1e+09 1786.74 1730.26 181 -1 12664.5 12866.7 26812
./instancias/natural_padrao/i640-201_sft 1e+09 1781.65 1709.86 426 -1 12664.5 12945.5 36081
./instancias/natural_padrao/i640-205_sft 16619 1811.69 1685.29 1701 823 13198.7 13685.7 42711
./instancias/natural_padrao/i640-205_sft 16619 1809.52 1676.82 1701 823 13198.7 13685.7 42668
./instancias/natural_padrao/i640-205_sft 16619 1809.33 1677.62 1701 823 13198.7 13685.7 42730
./instancias/natural_padrao/i640-205_sft 16654 1814.37 1687.12 2092 907 13198.7 13714.5 44507
./instancias/natural_padrao/i640-205_sft 1e+09 1834.47 1717.53 1583 -1 13198.7 13689.7 40910
./instancias/natural_padrao/i640-214_sft 1e+09 1875.52 1682.76 83 -1 9168.58 9174.45 10795
./instancias/natural_padrao/i640-214_sft 1e+09 1975.87 1508.23 1900 -1 9168.58 9181.83 63821
./instancias/natural_padrao/i640-214_sft 1e+09 1904.77 1620.01 367 -1 9168.58 9174.45 19072
./instancias/natural_padrao/i640-214_sft 1e+09 1906.75 1620.01 348 -1 9168.58 9174.45 22128
./instancias/natural_padrao/i640-214_sft 1e+09 1976.97 1496.64 1770 -1 9168.58 9181.83 58094
./instancias/natural_padrao/i640-231_sft 1e+09 1711.4 1579.92 362 -1 11195.8 11442.5 22901
./instancias/natural_padrao/i640-231_sft 1e+09 1734.34 1628.51 319 -1 11195.8 11368.2 20992
./instancias/natural_padrao/i640-231_sft 14851 1757.06 1585.84 1094 564 11195.8 11532.9 37318
./instancias/natural_padrao/i640-231_sft 1e+09 1727.23 1621.2 186 -1 11195.8 11368.2 14139
./instancias/natural_padrao/i640-231_sft 1e+09 1718.2 1607.69 442 -1 11195.8 11442.5 26200
./instancias/natural_padrao/i640-232_sft 1e+09 1732.52 1610.89 701 -1 11073.2 11376 28810
./instancias/natural_padrao/i640-232_sft 1e+09 1734.26 1614.67 706 -1 11073.2 11376 29337
./instancias/natural_padrao/i640-232_sft 1e+09 1738.98 1662.72 141 -1 11073.2 11220.5 15041
./instancias/natural_padrao/i640-232_sft 1e+09 1736.44 1618.66 766 -1 11073.2 11397 30819
./instancias/natural_padrao/i640-232_sft 1e+09 1746.36 1656.64 326 -1 11073.2 11221.2 28953
./instancias/natural_padrao/i640-233_sft 1e+09 1700.2 1628.63 158 -1 11189 11327.2 16619
./instancias/natural_padrao/i640-233_sft 1e+09 1738.36 1647.99 412 -1 11189 11327.2 23823
./instancias/natural_padrao/i640-233_sft 1e+09 1734.07 1642.65 316 -1 11189 11327.2 20851
./instancias/natural_padrao/i640-233_sft 1e+09 1746.75 1644.43 510 -1 11189 11400.5 28677
./instancias/natural_padrao/i640-233_sft 1e+09 1714.46 1616.87 435 -1 11189 11327.2 25526
./instancias/natural_padrao/i640-235_sft 1e+09 1753.04 1622.42 1217 -1 11125.5 11474.2 41635
./instancias/natural_padrao/i640-235_sft 1e+09 1735.45 1628.7 702 -1 11125.5 11420.9 27797
./instancias/natural_padrao/i640-235_sft 1e+09 1720.85 1631.77 408 -1 11125.5 11227.1 23538
./instancias/natural_padrao/i640-235_sft 1e+09 1762.31 1616.94 1184 -1 11125.5 11471.3 35495
./instancias/natural_padrao/i640-235_sft 1e+09 1745.91 1585.33 1574 -1 11125.5 11425 36109
./instancias/natural_padrao/i640-311_sft 1e+09 1804.47 1160.46 115 -1 24908.4 24938 13915
./instancias/natural_padrao/i640-311_sft 1e+09 1805.62 1096.02 190 -1 24908.4 24955.8 20758
./instancias/natural_padrao/i640-311_sft 1e+09 1804.27 1212.31 76 -1 24908.4 24958 12396
./instancias/natural_padrao/i640-311_sft 1e+09 1816.41 774.47 611 -1 24908.4 24926.3 39935
./instancias/natural_padrao/i640-311_sft 1e+09 1821.06 950.085 488 -1 24908.4 24971.5 37970
./instancias/natural_padrao/i640-312_sft 1e+09 1687.56 668.697 431 -1 24676.8 24708.3 28139
./instancias/natural_padrao/i640-312_sft 1e+09 1690.05 571.094 833 -1 24676.8 24693.5 54221
./instancias/natural_padrao/i640-312_sft 1e+09 1681.17 569.188 671 -1 24676.8 24766.2 43987
./instancias/natural_padrao/i640-312_sft 1e+09 1677.89 513.43 624 -1 24676.8 24693.5 47103
./instancias/natural_padrao/i640-312_sft 1e+09 1677.89 513.43 624 -1 24676.8 24693.5 47103
