Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade/i080-305_sft 5823 1830.33 1795.71 84642 50345 4529 5443.67 20755
./instancias/sem_suspeita_otimalidade/i080-332_sft 5183 1860.52 1837.77 28601 21573 3794.5 4678.62 33160
./instancias/sem_suspeita_otimalidade/i320-205_sft 12203 1843.13 1805.56 1486 460 8183.83 8487.57 37078
./instancias/sem_suspeita_otimalidade/i320-231_sft 11360 1844.47 1805.47 1343 350 7452.25 7820 35038
./instancias/sem_suspeita_otimalidade/i320-232_sft 11892 1873.54 1824.18 1522 840 7442.21 7800.78 35757
./instancias/sem_suspeita_otimalidade/i320-311_sft 1e+09 1963.48 1712 620 -1 12765.2 12911.5 17418
./instancias/sem_suspeita_otimalidade/i320-312_sft 1e+09 1933.02 1734.72 197 -1 12450.8 12597.4 10066
./instancias/sem_suspeita_otimalidade/i320-313_sft 1e+09 1984.9 1715.44 494 -1 12402.2 12520.2 18782
./instancias/sem_suspeita_otimalidade/i320-314_sft 28415 2005.5 1573.07 3076 2175 12765.8 12956.5 83876
./instancias/sem_suspeita_otimalidade/i320-315_sft 1e+09 1991.25 1624.25 1608 -1 12569 12706.9 50574
./instancias/sem_suspeita_otimalidade/i320-331_sft 26738 1911.14 1671.21 5388 683 15036.5 15532.9 94866
./instancias/sem_suspeita_otimalidade/i320-332_sft 26487 1899.48 1626.22 6681 1189 15739.3 16204.8 114578
./instancias/sem_suspeita_otimalidade/i320-333_sft 26746 1920.94 1673.95 5185 1287 14876.8 15371.2 103623
./instancias/sem_suspeita_otimalidade/i320-335_sft 26396 1900.06 1735.49 2969 600 15355 15784.2 66503
./instancias/sem_suspeita_otimalidade/i640-135_sft 1e+09 1858.66 1826.78 323 -1 6038 6102.83 24467
./instancias/sem_suspeita_otimalidade/i640-205_sft 1e+09 1830.76 1759.09 467 -1 13198.7 13306.1 40312
./instancias/sem_suspeita_otimalidade/i640-214_sft 1e+09 1990.88 1616.77 774 -1 9168.58 9316 32275
./instancias/sem_suspeita_otimalidade/i640-232_sft 18995 1871.32 1736.23 1635 715 11073.2 11382 58865
./instancias/sem_suspeita_otimalidade/i640-233_sft 1e+09 1827.13 1734.19 1051 -1 11189 11322.5 44093
./instancias/sem_suspeita_otimalidade/i640-235_sft 20252 1860.82 1726.12 1483 876 11125.5 11248.6 54275
./instancias/sem_suspeita_otimalidade/i640-312_sft 1e+09 1905.29 776.921 317 -1 24676.8 24825.5 25043
./instancias/sem_suspeita_otimalidade/i640-313_sft 1e+09 1896.35 894.548 694 -1 24988.8 25137.8 44900
./instancias/sem_suspeita_otimalidade/i640-314_sft 1e+09 1875.75 903.821 542 -1 24629.6 24776.7 35929
./instancias/sem_suspeita_otimalidade/i640-315_sft 1e+09 1908.74 930.081 132 -1 24879.1 25023.9 16540
./instancias/sem_suspeita_otimalidade/i640-331_sft 1e+09 1876.75 1411.47 154 -1 30479.2 30588.5 15225
./instancias/sem_suspeita_otimalidade/i640-332_sft 54825 1874.22 1195.19 1515 1402 30261 30478.5 97499
./instancias/sem_suspeita_otimalidade/i640-333_sft 1e+09 1866.09 1387.94 450 -1 30421.5 30619.2 32528
./instancias/sem_suspeita_otimalidade/i640-334_sft 55114 1857.31 1267.13 1668 1486 30908.5 31157 97184
./instancias/sem_suspeita_otimalidade/i640-335_sft 54289 1873.54 1305.66 1509 1413 30758.5 31095 96955
