Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade/i080-305_sft 1e+09 1822.7 1779.62 131955 -1 4529 5527.85 15818
./instancias/sem_suspeita_otimalidade/i080-332_sft 5394 1857.68 1833.11 28485 21153 3794.5 4656.5 37249
./instancias/sem_suspeita_otimalidade/i320-205_sft 1e+09 1861.21 1794.17 7153 -1 8183.83 8826.25 40038
./instancias/sem_suspeita_otimalidade/i320-231_sft 1e+09 1883.74 1835.07 1286 -1 7452.25 7869 35146
./instancias/sem_suspeita_otimalidade/i320-232_sft 1e+09 1877.2 1819.59 2190 -1 7442.21 7972.68 35109
./instancias/sem_suspeita_otimalidade/i320-311_sft 1e+09 1971.47 1727.25 370 -1 12765.2 12911.5 14580
./instancias/sem_suspeita_otimalidade/i320-312_sft 1e+09 1929.48 1732.8 197 -1 12450.8 12597.4 10111
./instancias/sem_suspeita_otimalidade/i320-313_sft 1e+09 1985.6 1707.85 492 -1 12402.2 12520.2 18640
./instancias/sem_suspeita_otimalidade/i320-314_sft 1e+09 1981.88 1637 1630 -1 12765.8 13049 38854
./instancias/sem_suspeita_otimalidade/i320-315_sft 1e+09 2013.87 1678.64 1114 -1 12569 12773.5 35135
./instancias/sem_suspeita_otimalidade/i320-331_sft 1e+09 1899.44 1414.09 15410 -1 15036.5 15927.5 121976
./instancias/sem_suspeita_otimalidade/i320-332_sft 1e+09 1939.84 1700.09 4229 -1 15739.3 16191.6 82527
./instancias/sem_suspeita_otimalidade/i320-333_sft 1e+09 1928.21 1582.49 7731 -1 14876.8 15501 118102
./instancias/sem_suspeita_otimalidade/i320-335_sft 1e+09 1901.45 1698.65 4291 -1 15355 15849.4 69635
./instancias/sem_suspeita_otimalidade/i640-135_sft 1e+09 1847.68 1814.31 125 -1 6038 6102.83 23285
./instancias/sem_suspeita_otimalidade/i640-205_sft 1e+09 1916.24 1702.09 2437 -1 13198.7 13756.6 47897
./instancias/sem_suspeita_otimalidade/i640-214_sft 1e+09 2017.05 1637.03 559 -1 9168.58 9316 36322
./instancias/sem_suspeita_otimalidade/i640-232_sft 1e+09 1860.42 1766.7 627 -1 11073.2 11284.3 26047
./instancias/sem_suspeita_otimalidade/i640-233_sft 1e+09 1926.36 1772.35 796 -1 11189 11492 39455
./instancias/sem_suspeita_otimalidade/i640-235_sft 1e+09 1853.73 1731.18 580 -1 11125.5 11310.7 27879
./instancias/sem_suspeita_otimalidade/i640-312_sft 1e+09 1904.35 756.636 328 -1 24676.8 24825.5 26701
./instancias/sem_suspeita_otimalidade/i640-313_sft 1e+09 1896.03 785.969 665 -1 24988.8 25137.8 45357
./instancias/sem_suspeita_otimalidade/i640-314_sft 1e+09 1890.38 880.16 547 -1 24629.6 24776.7 35352
./instancias/sem_suspeita_otimalidade/i640-315_sft 1e+09 1910.35 926.676 135 -1 24879.1 25023.9 17035
./instancias/sem_suspeita_otimalidade/i640-331_sft 1e+09 1874.72 1393.29 150 -1 30479.2 30588.5 15089
./instancias/sem_suspeita_otimalidade/i640-332_sft 1e+09 1952.13 1080.26 1014 -1 30261 30478.5 65479
./instancias/sem_suspeita_otimalidade/i640-333_sft 1e+09 1861.92 1392.56 450 -1 30421.5 30619.2 32536
./instancias/sem_suspeita_otimalidade/i640-334_sft 1e+09 1905.84 1296.39 842 -1 30908.5 31157 45439
./instancias/sem_suspeita_otimalidade/i640-335_sft 1e+09 1918.72 986.394 2473 -1 30758.5 31247.3 99175
