Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1.79891 1.65117 44 10 5485.02 5643 3139
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1.50744 1.40049 25 12 5485.02 5643 3102
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1.77893 1.63702 44 10 5485.02 5643 3139
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1.51969 1.41401 25 12 5485.02 5643 3102
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1.50513 1.39881 25 12 5485.02 5643 3102
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 5.83071 5.3288 68 53 4870.23 5016 3734
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 5.46144 5.11595 40 21 4870.23 5016 3569
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 5.62075 5.12177 68 53 4870.23 5016 3734
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 6.33184 5.7058 68 53 4870.23 5016 3734
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 6.25781 5.72479 68 53 4870.23 5016 3734
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 181.619 170.212 413 323 6227.57 6450.02 12392
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 174.879 167.359 187 158 6227.66 6451 12177
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 225.461 217.953 187 158 6227.66 6451 12177
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 167.1 161.581 187 158 6227.66 6451 12177
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 158.442 153.247 187 158 6227.66 6451 12177
./instancias/sem_suspeita_otimalidade/i160-332_sft 1e+09 1805.43 1790.56 1290 -1 10204.6 10360.2 32621
./instancias/sem_suspeita_otimalidade/i160-332_sft 1e+09 1805.99 1787.99 1287 -1 10204.6 10358.4 32618
./instancias/sem_suspeita_otimalidade/i160-332_sft 1e+09 1805.54 1787.34 1234 -1 10204.6 10341.6 32957
./instancias/sem_suspeita_otimalidade/i160-332_sft 1e+09 1805.89 1789.53 1270 -1 10204.6 10355.6 32581
./instancias/sem_suspeita_otimalidade/i160-332_sft 1e+09 1805.75 1788.65 1296 -1 10204.6 10360.2 32713
./instancias/sem_suspeita_otimalidade/i320-205_sft 1e+09 1800.97 1785.98 228 -1 10117.6 10265.7 38331
