Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1.96676 1.84781 27 9 5485.02 5643 3349
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 4.79003 4.50814 44 27 4870.23 5016 3668
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 198.465 193.216 156 134 6227.66 6450.64 12503
./instancias/sem_suspeita_otimalidade/i160-332_sft 11762 1809.76 1800.33 695 668 10204.6 10207.1 32942
./instancias/sem_suspeita_otimalidade/i320-205_sft 1e+09 1806.52 1794.69 64 -1 10118.7 10176.5 37076
./instancias/sem_suspeita_otimalidade/i320-231_sft 1e+09 1800.77 1794.96 0 -1 9518.32 9518.32 68523
./instancias/sem_suspeita_otimalidade/i320-232_sft 1e+09 1802.9 1799.26 2 -1 9217.98 9217.99 57983
./instancias/sem_suspeita_otimalidade/i320-305_sft 1e+09 1803.81 1787.71 59 -1 22170.2 22170.3 81704
./instancias/sem_suspeita_otimalidade/i320-311_sft 1e+09 1801.56 1783.17 0 -1 15983.8 15983.8 29144
./instancias/sem_suspeita_otimalidade/i320-312_sft 1e+09 1800.92 1776.33 0 -1 15819.6 15819.6 29930
./instancias/sem_suspeita_otimalidade/i320-313_sft 1e+09 1800.54 1773.8 0 -1 15865 15865 30322
./instancias/sem_suspeita_otimalidade/i320-314_sft 1e+09 1801.21 1794.51 0 -1 15877.4 15877.4 28727
./instancias/sem_suspeita_otimalidade/i320-315_sft 1e+09 1801.12 1797.46 0 -1 15868.3 15868.3 29028
./instancias/sem_suspeita_otimalidade/i320-331_sft 1e+09 1801.56 1789.74 4 -1 21004.9 21027.5 78339
./instancias/sem_suspeita_otimalidade/i320-332_sft 1e+09 1800.94 1795.04 0 -1 20930.7 20930.7 94266
./instancias/sem_suspeita_otimalidade/i320-333_sft 1e+09 1801.87 1793.24 2 -1 20579.1 20579.1 104674
./instancias/sem_suspeita_otimalidade/i320-335_sft 1e+09 1801.91 1792.16 0 -1 20577.8 20577.8 92351
./instancias/sem_suspeita_otimalidade/i640-135_sft 1e+09 1802.95 1791.73 0 -1 7046.51 7046.51 27459
./instancias/sem_suspeita_otimalidade/i640-201_sft 1e+09 1802.36 1788.8 0 -1 15231.8 15231.8 51959
./instancias/sem_suspeita_otimalidade/i640-205_sft 1e+09 1800.6 1788.85 0 -1 15732 15732 61043
./instancias/sem_suspeita_otimalidade/i640-214_sft 1e+09 1802.62 1782.88 0 -1 9804.76 9804.76 22993
./instancias/sem_suspeita_otimalidade/i640-231_sft 1e+09 1801.1 1795.86 0 -1 13453.4 13453.4 42428
./instancias/sem_suspeita_otimalidade/i640-232_sft 1e+09 1800.72 1778.73 0 -1 13574.3 13574.3 47972
./instancias/sem_suspeita_otimalidade/i640-233_sft 1e+09 1800.73 1789.02 0 -1 13821.3 13821.3 46455
./instancias/sem_suspeita_otimalidade/i640-235_sft 1e+09 1800.91 1791.11 0 -1 13356.5 13356.5 41063
./instancias/sem_suspeita_otimalidade/i640-311_sft 1e+09 1802.8 1591.06 0 -1 30902.2 30902.2 43271
./instancias/sem_suspeita_otimalidade/i640-312_sft 1e+09 1803.97 1696.51 0 -1 30786.4 30786.4 41910
./instancias/sem_suspeita_otimalidade/i640-313_sft 1e+09 1802.78 1692.68 0 -1 30647.6 30647.6 41784
./instancias/sem_suspeita_otimalidade/i640-314_sft 1e+09 1802.45 1717.84 0 -1 30595.3 30595.3 39533
./instancias/sem_suspeita_otimalidade/i640-315_sft 1e+09 1803.38 1766.91 0 -1 30543.4 30543.4 40009
./instancias/sem_suspeita_otimalidade/i640-331_sft 1e+09 1801.06 1745.19 0 -1 39669.6 39669.6 60132
./instancias/sem_suspeita_otimalidade/i640-332_sft 1e+09 1801.03 1791.63 0 -1 39234 39234 63229
./instancias/sem_suspeita_otimalidade/i640-333_sft 1e+09 1800.56 1733.67 0 -1 39136 39136 65057
./instancias/sem_suspeita_otimalidade/i640-334_sft 1e+09 1800.51 1786.17 0 -1 38986.1 38986.1 62888
./instancias/sem_suspeita_otimalidade/i640-335_sft 1e+09 1800.57 1718.6 0 -1 39618.4 39618.4 62368
