Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1.65682 1.53875 26 12 5485.02 5643 3102
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 5.63769 5.30728 44 27 4870.23 5016 3668
./instancias/sem_suspeita_otimalidade/i320-205_sft 1e+09 1805.97 1798.06 54 -1 10118.7 10177.2 37845
./instancias/sem_suspeita_otimalidade/i320-231_sft 1e+09 1801.49 1795.92 0 -1 9512.54 9512.54 67121
./instancias/sem_suspeita_otimalidade/i320-232_sft 1e+09 1801.15 1798.01 0 -1 9217.55 9217.55 54927
./instancias/sem_suspeita_otimalidade/i320-311_sft 1e+09 1801.38 1771.76 0 -1 15988.6 15988.6 29364
./instancias/sem_suspeita_otimalidade/i320-312_sft 1e+09 1801.13 1789.48 0 -1 15810.4 15810.4 29509
./instancias/sem_suspeita_otimalidade/i320-313_sft 1e+09 1801.62 1773.74 0 -1 15854.4 15854.4 29782
./instancias/sem_suspeita_otimalidade/i320-314_sft 1e+09 1801.25 1789.02 0 -1 15872.8 15872.8 28530
./instancias/sem_suspeita_otimalidade/i320-315_sft 1e+09 1801.91 1799.74 0 -1 15868.3 15868.3 29028
./instancias/sem_suspeita_otimalidade/i320-332_sft 1e+09 1802.45 1794.22 0 -1 20927.7 20927.7 93522
./instancias/sem_suspeita_otimalidade/i320-333_sft 1e+09 1801.83 1792.76 1 -1 20579.1 20579.1 102780
./instancias/sem_suspeita_otimalidade/i320-335_sft 1e+09 1802.52 1792.74 0 -1 20558.7 20558.7 89573
./instancias/sem_suspeita_otimalidade/i640-135_sft 1e+09 1803.48 1798.91 0 -1 7033.68 7033.68 26258
./instancias/sem_suspeita_otimalidade/i640-205_sft 1e+09 1801.71 1787.9 0 -1 15742.3 15742.3 60371
./instancias/sem_suspeita_otimalidade/i640-214_sft 1e+09 1802.58 1796.8 0 -1 9807.45 9807.45 23129
./instancias/sem_suspeita_otimalidade/i640-232_sft 1e+09 1800.91 1794.96 0 -1 13571.5 13571.5 47709
./instancias/sem_suspeita_otimalidade/i640-233_sft 1e+09 1800.88 1785.09 0 -1 13821.3 13821.3 46455
./instancias/sem_suspeita_otimalidade/i640-235_sft 1e+09 1800.95 1789.51 0 -1 13359.8 13359.8 41295
./instancias/sem_suspeita_otimalidade/i640-312_sft 1e+09 1805.09 1791.25 0 -1 30828.8 30828.8 43403
./instancias/sem_suspeita_otimalidade/i640-313_sft 1e+09 1804.02 1776.22 0 -1 30634.4 30634.4 41628
./instancias/sem_suspeita_otimalidade/i640-314_sft 1e+09 1804.6 1755.83 0 -1 30655.7 30655.7 40827
./instancias/sem_suspeita_otimalidade/i640-315_sft 1e+09 1805.16 1757.69 0 -1 30513 30513 39045
./instancias/sem_suspeita_otimalidade/i640-332_sft 1e+09 1801.72 1718.63 0 -1 39156.5 39156.5 60842
./instancias/sem_suspeita_otimalidade/i640-333_sft 1e+09 1800.68 1758.53 0 -1 39136 39136 65057
./instancias/sem_suspeita_otimalidade/i640-334_sft 1e+09 1800.54 1754.79 0 -1 38941.4 38941.4 61670
./instancias/sem_suspeita_otimalidade/i640-335_sft 1e+09 1800.55 1796.4 0 -1 39676.3 39676.3 63553
