,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i160-341_sft,13081.0,13081.0,1,3904.58,8142.0,5900.62,6058.62,6058.62,77417.0,1
1,i160-342_sft,12822.0,12822.0,1,3704.09,11012.0,5904.75,6131.0,6131.0,83481.0,1
2,i160-343_sft,13622.0,13622.0,1,3883.29,8956.0,5920.0,6093.0,6093.0,83289.0,1
3,i160-344_sft,13088.0,13088.0,1,3701.15,13119.0,5952.75,6128.0,6128.0,93535.0,1
4,i160-345_sft,13763.0,13763.0,1,3836.15,7762.0,5891.75,6037.0,6037.0,69725.0,1
5,i320-011_sft,1854.0,1854.0,1,1144.58,2141.0,1618.83,1853.07,1853.07,10910.0,1
6,i320-014_sft,1000000000.0,1000000000.0,0,3623.13,1754.0,1576.0,1599.0,1599.0,1533.0,1
7,i320-015_sft,2848.0,2848.0,1,3734.41,1710.0,1586.75,1671.83,1671.83,15946.0,1
8,i320-031_sft,2873.0,2873.0,1,3681.92,2391.0,2095.5,2395.21,2395.21,26548.0,1
9,i320-032_sft,2379.0,2379.0,1,960.484,546.0,2192.0,2379.0,2379.0,17544.0,1
10,i320-043_sft,1372.0,1372.0,1,0.187858,10.0,1281.0,1371.17,1371.17,125.0,1
11,i320-111_sft,1000000000.0,1000000000.0,0,3655.75,492.0,3451.5,3512.25,3512.25,32887.0,1
12,i320-112_sft,1000000000.0,1000000000.0,0,3677.98,522.0,3312.4,3404.0,3404.0,28569.0,1
13,i320-113_sft,5148.0,5148.0,1,3756.03,2110.0,3152.31,3337.0,3337.0,29282.0,1
14,i320-114_sft,5737.0,5737.0,1,3704.46,1616.0,3238.5,3339.0,3339.0,23686.0,1
15,i320-115_sft,5642.0,5642.0,1,3667.49,1493.0,3170.0,3318.0,3318.0,24176.0,1
16,i320-135_sft,8058.0,8058.0,1,3680.65,939.0,4286.56,4344.02,4344.02,37071.0,1
17,i320-141_sft,5102.0,5102.0,1,3802.18,2415.0,2587.25,2688.5,2688.5,17996.0,1
18,i320-145_sft,1000000000.0,1000000000.0,0,3858.61,117.0,2620.5,2714.5,2714.5,11842.0,1
19,i320-211_sft,1000000000.0,1000000000.0,0,3671.62,1960.0,6004.18,6152.67,6152.67,46145.0,1
20,i320-212_sft,1000000000.0,1000000000.0,0,3663.56,1794.0,6086.95,6218.3,6218.3,66249.0,1
21,i320-213_sft,1000000000.0,1000000000.0,0,3643.0,1527.0,5738.62,5882.24,5882.24,41639.0,1
22,i320-214_sft,1000000000.0,1000000000.0,0,3654.37,321.0,5913.0,6104.75,6104.75,19225.0,1
23,i320-215_sft,1000000000.0,1000000000.0,0,3702.65,2060.0,5812.0,5955.38,5955.38,37211.0,1
24,i320-221_sft,1000000000.0,1000000000.0,0,1324.38,1359.0,4932.62,4953.0,4953.0,13301.0,1
25,i320-222_sft,1000000000.0,1000000000.0,0,976.78,1929.0,4939.0,4962.0,4962.0,15457.0,1
26,i320-223_sft,1000000000.0,1000000000.0,0,1531.62,1403.0,4931.0,4949.5,4949.5,11814.0,1
27,i320-224_sft,1000000000.0,1000000000.0,0,1579.71,1286.0,4937.0,4962.0,4962.0,13040.0,1
28,i320-225_sft,1000000000.0,1000000000.0,0,1083.56,1774.0,4941.0,4960.5,4960.5,15104.0,1
29,i320-241_sft,1000000000.0,1000000000.0,0,3705.61,2285.0,5021.5,5069.5,5069.5,22721.0,1
30,i320-242_sft,1000000000.0,1000000000.0,0,3137.11,4982.0,5048.0,5194.5,5194.5,53368.0,1
31,i320-243_sft,1000000000.0,1000000000.0,0,3638.73,702.0,5026.0,5169.75,5169.75,17586.0,1
32,i320-244_sft,1000000000.0,1000000000.0,0,3740.34,616.0,5039.5,5146.25,5146.25,15663.0,1
33,i320-245_sft,1000000000.0,1000000000.0,0,3430.06,4054.0,5021.5,5125.0,5125.0,38697.0,1
0,i080-305_sft,5769.0,5769.0,1,3589.9,117789.0,4529.0,5474.0,5474.0,23380.0,0
1,i080-332_sft,5183.0,5183.0,1,3666.38,39075.0,3794.5,4712.5,4712.5,37588.0,0
2,i160-232_sft,8343.0,8343.0,1,3737.82,3640.0,4831.73,5229.37,5229.37,64790.0,0
3,i160-332_sft,12774.0,12774.0,1,3693.5,7363.0,7830.5,8350.06,8350.06,81007.0,0
4,i320-205_sft,11781.0,11781.0,1,3624.42,2853.0,8183.83,8617.39,8617.39,52892.0,0
5,i320-231_sft,11360.0,11360.0,1,3622.14,1459.0,7452.25,7820.0,7820.0,41244.0,0
6,i320-232_sft,11892.0,11892.0,1,3730.42,2104.0,7442.21,7821.0,7821.0,47081.0,0
7,i320-305_sft,26638.0,26638.0,1,3624.23,5913.0,16903.3,17457.7,17457.7,126526.0,0
8,i320-311_sft,1000000000.0,1000000000.0,0,3565.3,958.0,12765.2,12911.5,12911.5,20890.0,0
9,i320-312_sft,1000000000.0,1000000000.0,0,3615.74,257.0,12450.8,12597.4,12597.4,10722.0,0
10,i320-313_sft,1000000000.0,1000000000.0,0,3609.51,683.0,12402.2,12520.2,12520.2,22182.0,0
11,i320-314_sft,28415.0,28415.0,1,3411.88,3326.0,12765.8,12956.5,12956.5,90953.0,0
12,i320-315_sft,28755.0,28755.0,1,3433.91,2617.0,12569.0,12773.5,12773.5,86221.0,0
13,i320-331_sft,26738.0,26738.0,1,3432.02,8302.0,15036.5,15597.2,15597.2,128669.0,0
14,i320-332_sft,26487.0,26487.0,1,3409.37,9997.0,15739.3,16263.0,16263.0,151322.0,0
15,i320-333_sft,26746.0,26746.0,1,3538.65,6048.0,14876.8,15411.5,15411.5,117730.0,0
16,i320-335_sft,26396.0,26396.0,1,3574.21,3270.0,15355.0,15801.0,15801.0,72367.0,0
17,i640-135_sft,1000000000.0,1000000000.0,0,3647.23,383.0,6038.0,6102.83,6102.83,26073.0,0
18,i640-201_sft,21764.0,21764.0,1,3573.92,1090.0,12664.5,12901.1,12901.1,50208.0,0
19,i640-205_sft,1000000000.0,1000000000.0,0,3560.91,511.0,13198.7,13306.1,13306.1,51597.0,0
20,i640-214_sft,1000000000.0,1000000000.0,0,3432.36,819.0,9168.58,9316.0,9316.0,39575.0,0
21,i640-231_sft,1000000000.0,1000000000.0,0,3584.57,161.0,11195.8,11334.1,11334.1,25346.0,0
22,i640-232_sft,18995.0,18995.0,1,3570.46,2021.0,11073.2,11387.6,11387.6,71711.0,0
23,i640-233_sft,20482.0,20482.0,1,3545.03,1180.0,11189.0,11330.0,11330.0,50956.0,0
