,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i160-341_sft,7397.0,7397.0,1,1563.4,9.0,7390.5,7397.0,7397.0,15983.0,1
1,i160-342_sft,7485.0,7485.0,1,2658.49,11.0,7481.0,7485.0,7485.0,18729.0,1
2,i160-343_sft,1000000000.0,1000000000.0,0,3599.63,10.0,7546.51,7548.01,7548.01,19236.0,1
3,i160-344_sft,1000000000.0,1000000000.0,0,3595.42,4.0,7617.72,7618.78,7618.78,19983.0,1
4,i160-345_sft,7356.0,7356.0,1,1937.21,9.0,7352.0,7356.0,7356.0,15850.0,1
5,i320-011_sft,1000000000.0,1000000000.0,0,3593.71,72.0,1742.11,1825.04,1825.04,10107.0,1
6,i320-014_sft,1000000000.0,1000000000.0,0,3606.98,33.0,1743.23,1834.42,1834.42,10667.0,1
7,i320-015_sft,1781.0,1781.0,1,2701.98,11.0,1663.52,1781.0,1781.0,6739.0,1
8,i320-031_sft,2599.0,2599.0,1,3626.6,152.0,2413.95,2528.55,2528.55,16596.0,1
9,i320-032_sft,2379.0,2379.0,1,639.061,19.0,2255.99,2379.0,2379.0,6371.0,1
10,i320-043_sft,1000000000.0,1000000000.0,0,3597.09,1.0,1308.36,1308.53,1308.53,4126.0,1
11,i320-111_sft,1000000000.0,1000000000.0,0,3600.41,1.0,3871.45,3872.11,3872.11,22052.0,1
12,i320-112_sft,3674.0,3674.0,1,2705.25,7.0,3621.67,3674.0,3674.0,20661.0,1
13,i320-113_sft,1000000000.0,1000000000.0,0,3599.83,1.0,3610.65,3610.89,3610.89,21182.0,1
14,i320-114_sft,1000000000.0,1000000000.0,0,3601.27,1.0,3594.92,3595.15,3595.15,20677.0,1
15,i320-115_sft,1000000000.0,1000000000.0,0,3592.49,0.0,3797.86,3797.86,3797.86,27094.0,1
16,i320-135_sft,1000000000.0,1000000000.0,0,3605.57,181.0,5160.37,5223.2,5223.2,33648.0,1
17,i320-141_sft,1000000000.0,1000000000.0,0,3607.36,0.0,2838.79,2838.79,2838.79,9103.0,1
