,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i160-341_sft,7397.0,7397.0,1,1517.27,5.0,7390.5,7397.0,7397.0,16358.0,1
1,i160-342_sft,7485.0,7485.0,1,2305.49,10.0,7481.0,7485.0,7485.0,18324.0,1
2,i160-343_sft,7554.0,7554.0,1,3057.47,697.0,7546.0,7553.01,7553.01,19181.0,1
3,i160-344_sft,1000000000.0,1000000000.0,0,3587.86,138.0,7617.64,7621.65,7621.65,21319.0,1
4,i160-345_sft,7356.0,7356.0,1,1778.48,7.0,7352.0,7356.0,7356.0,15922.0,1
5,i320-011_sft,1854.0,1854.0,1,2493.65,1107.0,1742.11,1854.0,1854.0,8849.0,1
6,i320-014_sft,1858.0,1858.0,1,2714.93,499.0,1744.01,1858.0,1858.0,10368.0,1
7,i320-015_sft,1781.0,1781.0,1,2497.13,158.0,1663.49,1780.12,1780.12,6405.0,1
8,i320-031_sft,2577.0,2577.0,1,1239.64,481.0,2415.08,2576.05,2576.05,11719.0,1
9,i320-032_sft,2379.0,2379.0,1,332.03,11.0,2255.99,2378.18,2378.18,5763.0,1
10,i320-043_sft,1000000000.0,1000000000.0,0,3595.6,1.0,1305.94,1306.13,1306.13,4204.0,1
11,i320-111_sft,1000000000.0,1000000000.0,0,3598.33,1.0,3871.45,3872.11,3872.11,22074.0,1
12,i320-112_sft,3674.0,3674.0,1,1833.2,15.0,3616.57,3673.13,3673.13,19511.0,1
13,i320-113_sft,1000000000.0,1000000000.0,0,3600.63,1.0,3610.81,3611.24,3611.24,20963.0,1
14,i320-114_sft,1000000000.0,1000000000.0,0,3601.75,1.0,3600.96,3601.64,3601.64,20918.0,1
15,i320-115_sft,1000000000.0,1000000000.0,0,3593.95,0.0,3799.64,3799.64,3799.64,27299.0,1
16,i320-135_sft,1000000000.0,1000000000.0,0,3603.37,184.0,5160.37,5223.2,5223.2,33496.0,1
17,i320-141_sft,1000000000.0,1000000000.0,0,3596.4,0.0,2840.82,2840.82,2840.82,9135.0,1
18,i320-145_sft,1000000000.0,1000000000.0,0,3601.87,0.0,2815.87,2815.87,2815.87,9382.0,1
19,i320-211_sft,1000000000.0,1000000000.0,0,3584.64,0.0,6991.52,6991.52,6991.52,27833.0,1
20,i320-212_sft,1000000000.0,1000000000.0,0,3592.64,0.0,7143.4,7143.4,7143.4,30599.0,1
21,i320-213_sft,1000000000.0,1000000000.0,0,3579.04,0.0,6862.67,6862.67,6862.67,27697.0,1
22,i320-214_sft,1000000000.0,1000000000.0,0,3586.55,0.0,7087.42,7087.42,7087.42,28002.0,1
23,i320-215_sft,1000000000.0,1000000000.0,0,3573.54,0.0,7130.08,7130.08,7130.08,30813.0,1
24,i320-221_sft,1000000000.0,1000000000.0,0,3583.66,0.0,4079.45,4079.45,4079.45,6137.0,1
25,i320-222_sft,1000000000.0,1000000000.0,0,3603.47,0.0,4145.9,4145.9,4145.9,6664.0,1
26,i320-223_sft,1000000000.0,1000000000.0,0,3602.65,0.0,4174.87,4174.87,4174.87,6987.0,1
27,i320-224_sft,1000000000.0,1000000000.0,0,3594.56,0.0,4093.31,4093.31,4093.31,6318.0,1
28,i320-225_sft,1000000000.0,1000000000.0,0,3595.87,0.0,4091.5,4091.5,4091.5,6171.0,1
29,i320-241_sft,1000000000.0,1000000000.0,0,3594.79,0.0,5443.5,5443.5,5443.5,13727.0,1
30,i320-242_sft,1000000000.0,1000000000.0,0,3597.3,0.0,5429.3,5429.3,5429.3,13383.0,1
31,i320-243_sft,1000000000.0,1000000000.0,0,3585.99,0.0,5432.73,5432.73,5432.73,13072.0,1
32,i320-244_sft,1000000000.0,1000000000.0,0,3586.44,0.0,5409.35,5409.35,5409.35,13032.0,1
33,i320-245_sft,1000000000.0,1000000000.0,0,3612.04,0.0,5415.13,5415.13,5415.13,13140.0,1
0,i080-305_sft,5643.0,5643.0,2,1.71177,26.0,5485.02,5643.0,5643.0,3102.0,0
1,i080-332_sft,5016.0,5016.0,1,6.20452,77.0,4870.23,5016.0,5016.0,3753.0,0
2,i160-232_sft,6451.0,6451.0,1,178.18,394.0,6227.57,6450.11,6450.11,12387.0,0
