Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/easy/i160-341_sft 13081 8566.73 3904.58 8142 5824 5900.62 6058.62 77417
./instancias/easy/i160-342_sft 12822 8443.91 3704.09 11012 5806 5904.75 6131 83481
./instancias/easy/i160-343_sft 13622 8570.23 3883.29 8956 2955 5920 6093 83289
./instancias/easy/i160-344_sft 13088 8493.62 3701.15 13119 2993 5952.75 6128 93535
./instancias/easy/i160-345_sft 13763 8476.94 3836.15 7762 2969 5891.75 6037 69725
./instancias/easy/i320-011_sft 1854 1158.71 1144.58 2141 1874 1618.83 1853.07 10910
./instancias/easy/i320-014_sft 1e+09 7929.91 3623.13 1754 -1 1576 1599 1533
./instancias/easy/i320-015_sft 2848 8050.92 3734.41 1710 761 1586.75 1671.83 15946
./instancias/easy/i320-031_sft 2873 7991.31 3681.92 2391 134 2095.5 2395.21 26548
./instancias/easy/i320-032_sft 2379 968.763 960.484 546 540 2192 2379 17544
./instancias/easy/i320-043_sft 1372 0.732932 0.187858 10 6 1281 1371.17 125
./instancias/easy/i320-111_sft 1e+09 7990.14 3655.75 492 -1 3451.5 3512.25 32887
./instancias/easy/i320-112_sft 1e+09 8036.53 3677.98 522 -1 3312.4 3404 28569
./instancias/easy/i320-113_sft 5148 8102.8 3756.03 2110 1959 3152.31 3337 29282
./instancias/easy/i320-114_sft 5737 8042.65 3704.46 1616 992 3238.5 3339 23686
./instancias/easy/i320-115_sft 5642 8000.78 3667.49 1493 704 3170 3318 24176
./instancias/easy/i320-135_sft 8058 8000.8 3680.65 939 537 4286.56 4344.02 37071
./instancias/easy/i320-141_sft 5102 8339.69 3802.18 2415 2189 2587.25 2688.5 17996
./instancias/easy/i320-145_sft 1e+09 8286.09 3858.61 117 -1 2620.5 2714.5 11842
./instancias/easy/i320-211_sft 1e+09 8058.47 3671.62 1960 -1 6004.18 6152.67 46145
./instancias/easy/i320-212_sft 1e+09 8074.99 3663.56 1794 -1 6086.95 6218.3 66249
./instancias/easy/i320-213_sft 1e+09 8007.27 3643 1527 -1 5738.62 5882.24 41639
./instancias/easy/i320-214_sft 1e+09 8020.31 3654.37 321 -1 5913 6104.75 19225
./instancias/easy/i320-215_sft 1e+09 8131.49 3702.65 2060 -1 5812 5955.38 37211
./instancias/easy/i320-221_sft 1e+09 8141.22 1324.38 1359 -1 4932.62 4953 13301
./instancias/easy/i320-222_sft 1e+09 8079.64 976.78 1929 -1 4939 4962 15457
./instancias/easy/i320-223_sft 1e+09 8149.4 1531.62 1403 -1 4931 4949.5 11814
./instancias/easy/i320-224_sft 1e+09 8181.1 1579.71 1286 -1 4937 4962 13040
./instancias/easy/i320-225_sft 1e+09 8105.89 1083.56 1774 -1 4941 4960.5 15104
./instancias/easy/i320-241_sft 1e+09 8441.94 3705.61 2285 -1 5021.5 5069.5 22721
./instancias/easy/i320-242_sft 1e+09 8364.24 3137.11 4982 -1 5048 5194.5 53368
./instancias/easy/i320-243_sft 1e+09 8409.81 3638.73 702 -1 5026 5169.75 17586
./instancias/easy/i320-244_sft 1e+09 8460.89 3740.34 616 -1 5039.5 5146.25 15663
./instancias/easy/i320-245_sft 1e+09 8481.4 3430.06 4054 -1 5021.5 5125 38697
