Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/easy/i160-341_sft 7397 1515.42 1512.35 5 3 7390.5 7397 16358
./instancias/easy/i160-341_sft 7397 1461.78 1458.86 5 3 7390.5 7397 16358
./instancias/easy/i160-341_sft 7397 1516.01 1512.98 5 3 7390.5 7397 16358
./instancias/easy/i160-341_sft 7397 1529.42 1526.33 5 3 7390.5 7397 16358
./instancias/easy/i160-341_sft 7397 1468.37 1465.41 5 3 7390.5 7397 16358
./instancias/easy/i160-342_sft 7485 6600.53 2301.68 10 7 7481 7485 18324
./instancias/easy/i160-342_sft 7485 6532.99 2234.11 10 7 7481 7485 18324
./instancias/easy/i160-342_sft 7485 6568.26 2269.46 10 7 7481 7485 18324
./instancias/easy/i160-342_sft 7485 6495.69 2196.8 10 7 7481 7485 18324
./instancias/easy/i160-342_sft 7485 6538.74 2239.81 10 7 7481 7485 18324
./instancias/easy/i160-343_sft 7554 7493.99 3091.3 697 430 7546 7553.01 19181
./instancias/easy/i160-343_sft 7554 7333.05 2939.53 697 430 7546 7553.01 19181
./instancias/easy/i160-343_sft 7554 7549.09 3153.5 697 430 7546 7553.01 19181
./instancias/easy/i160-343_sft 7554 7362.96 2971.04 697 430 7546 7553.01 19181
./instancias/easy/i160-343_sft 7554 7389.87 2991.55 697 430 7546 7553.01 19181
./instancias/easy/i160-344_sft 7637 7850.84 3542.83 200 149 7617.64 7636.05 21421
./instancias/easy/i160-344_sft 7637 7862.21 3554.45 200 149 7617.64 7636.05 21421
./instancias/easy/i160-344_sft 7637 7875.96 3568.02 200 149 7617.64 7636.05 21421
./instancias/easy/i160-344_sft 1e+09 7896.45 3596.77 149 -1 7617.64 7633.33 21416
./instancias/easy/i160-344_sft 1e+09 7896.66 3598 15 -1 7617.64 7621.65 21199
./instancias/easy/i160-345_sft 7356 1816.76 1814.4 7 2 7352 7356 15922
./instancias/easy/i160-345_sft 7356 1811.14 1808.77 7 2 7352 7356 15922
./instancias/easy/i160-345_sft 7356 1728.67 1726.41 7 2 7352 7356 15922
./instancias/easy/i160-345_sft 7356 1747.73 1745.42 7 2 7352 7356 15922
./instancias/easy/i160-345_sft 7356 1767.45 1765.1 7 2 7352 7356 15922
./instancias/easy/i320-011_sft 1854 6828.83 2531.14 1107 977 1742.11 1854 8849
./instancias/easy/i320-011_sft 1854 6879.39 2581.68 1107 977 1742.11 1854 8849
./instancias/easy/i320-011_sft 1854 6819.86 2522.13 1107 977 1742.11 1854 8849
./instancias/easy/i320-011_sft 1854 6836.72 2539.01 1107 977 1742.11 1854 8849
./instancias/easy/i320-011_sft 1854 6931.48 2633.76 1107 977 1742.11 1854 8849
./instancias/easy/i320-014_sft 1858 7164.57 2804.95 499 397 1744.01 1858 10368
./instancias/easy/i320-014_sft 1858 6909.34 2555.81 499 397 1744.01 1858 10368
./instancias/easy/i320-014_sft 1858 6864.01 2509.65 499 397 1744.01 1858 10368
./instancias/easy/i320-014_sft 1858 6882.95 2530.83 499 397 1744.01 1858 10368
./instancias/easy/i320-014_sft 1858 6976.15 2621.03 499 397 1744.01 1858 10368
./instancias/easy/i320-015_sft 1781 6597.8 2299.38 158 144 1663.49 1780.12 6405
./instancias/easy/i320-015_sft 1781 6647.04 2348.71 158 144 1663.49 1780.12 6405
./instancias/easy/i320-015_sft 1781 6598.96 2300.63 158 144 1663.49 1780.12 6405
./instancias/easy/i320-015_sft 1781 6715.51 2417.01 158 144 1663.49 1780.12 6405
./instancias/easy/i320-015_sft 1781 6665.28 2366.73 158 144 1663.49 1780.12 6405
./instancias/easy/i320-031_sft 2577 1261.47 1229.39 454 191 2415.08 2576.12 11483
./instancias/easy/i320-031_sft 2577 1256.56 1222.04 454 191 2415.08 2576.12 11483
./instancias/easy/i320-031_sft 2577 1260.62 1226.82 454 191 2415.08 2576.12 11483
./instancias/easy/i320-031_sft 2577 1250.52 1219.8 454 191 2415.08 2576.12 11483
./instancias/easy/i320-031_sft 2577 1288.26 1249.28 454 191 2415.08 2576.12 11483
./instancias/easy/i320-032_sft 2379 433.407 432.972 11 10 2255.99 2378.18 5763
./instancias/easy/i320-032_sft 2379 561.436 560.864 11 10 2255.99 2378.18 5763
./instancias/easy/i320-032_sft 2379 598.488 597.906 11 10 2255.99 2378.18 5763
./instancias/easy/i320-032_sft 2379 588.811 588.247 11 10 2255.99 2378.18 5763
./instancias/easy/i320-032_sft 2379 501.33 500.832 11 10 2255.99 2378.18 5763
./instancias/easy/i320-043_sft 1e+09 7898.53 3598.28 1 -1 1305.94 1306.13 4296
./instancias/easy/i320-043_sft 1e+09 7898.96 3595.51 1 -1 1305.94 1306.13 4324
./instancias/easy/i320-043_sft 1e+09 7899.29 3599.83 5 -1 1305.94 1362.06 4445
./instancias/easy/i320-043_sft 1e+09 7899.53 3600.53 11 -1 1305.94 1370.02 4539
./instancias/easy/i320-043_sft 1372 7363.18 3065.18 13 12 1305.94 1371.07 4539
./instancias/easy/i320-111_sft 1e+09 7896.95 3597.12 1 -1 3871.45 3872.11 23069
./instancias/easy/i320-111_sft 1e+09 7897.77 3599.07 1 -1 3871.45 3872.11 23168
./instancias/easy/i320-111_sft 1e+09 7897.44 3599.22 1 -1 3871.45 3872.11 23094
./instancias/easy/i320-111_sft 1e+09 7897.27 3598.04 1 -1 3871.45 3872.11 23082
./instancias/easy/i320-111_sft 1e+09 7898.97 3600.13 1 -1 3871.45 3872.11 23125
./instancias/easy/i320-112_sft 3674 1267.11 1265.05 15 2 3616.57 3673.13 19511
./instancias/easy/i320-112_sft 3674 1245.38 1243.35 15 2 3616.57 3673.13 19511
./instancias/easy/i320-112_sft 3674 1322.83 1320.72 15 2 3616.57 3673.13 19511
./instancias/easy/i320-112_sft 3674 1495.4 1493.15 15 2 3616.57 3673.13 19511
./instancias/easy/i320-112_sft 3674 1648.27 1645.87 15 2 3616.57 3673.13 19511
./instancias/easy/i320-113_sft 1e+09 7898.45 3598.37 1 -1 3610.81 3611.24 22272
./instancias/easy/i320-113_sft 1e+09 7897.62 3598.38 1 -1 3610.81 3611.24 21838
./instancias/easy/i320-113_sft 1e+09 7896.8 3598.23 1 -1 3610.81 3611.24 21572
./instancias/easy/i320-113_sft 1e+09 7899.13 3600.32 1 -1 3610.81 3611.24 22083
./instancias/easy/i320-113_sft 1e+09 7899.79 3600.71 3 -1 3610.81 3679.65 22931
./instancias/easy/i320-114_sft 1e+09 7910.15 3610.3 2 -1 3600.96 3606.64 22782
./instancias/easy/i320-114_sft 1e+09 7908.7 3606.66 2 -1 3600.96 3606.64 22715
./instancias/easy/i320-114_sft 1e+09 7909.08 3609.07 2 -1 3600.96 3606.64 22687
./instancias/easy/i320-114_sft 1e+09 7909.01 3609.09 2 -1 3600.96 3606.64 22767
./instancias/easy/i320-114_sft 1e+09 7908.75 3608.62 2 -1 3600.96 3606.64 22764
./instancias/easy/i320-115_sft 1e+09 7893.37 3596.35 1 -1 3800 3800.15 30048
./instancias/easy/i320-115_sft 1e+09 7893.91 3585.47 1 -1 3800 3800.15 28988
./instancias/easy/i320-115_sft 1e+09 7893.04 3589.55 1 -1 3800 3800.15 29388
./instancias/easy/i320-115_sft 1e+09 7894.02 3592.88 1 -1 3800 3800.15 28285
./instancias/easy/i320-115_sft 1e+09 7894.01 3591.93 1 -1 3800 3800.15 28947
./instancias/easy/i320-135_sft 1e+09 7902.24 3599.36 311 -1 5160.37 5223.2 35891
./instancias/easy/i320-135_sft 1e+09 7902.24 3587.3 323 -1 5160.37 5223.2 36076
./instancias/easy/i320-135_sft 1e+09 7902.42 3601.47 320 -1 5160.37 5223.2 36068
./instancias/easy/i320-135_sft 1e+09 7902.49 3602.27 323 -1 5160.37 5223.2 36108
./instancias/easy/i320-135_sft 1e+09 7901.74 3601.12 314 -1 5160.37 5223.2 36012
