Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/easy/i160-341_sft 7397 1566.32 1563.4 9 6 7390.5 7397 15983
./instancias/easy/i160-342_sft 7485 6960.66 2658.49 11 8 7481 7485 18729
./instancias/easy/i160-343_sft 1e+09 7899.07 3599.63 10 -1 7546.51 7548.01 19236
./instancias/easy/i160-344_sft 1e+09 7896.54 3595.42 4 -1 7617.72 7618.78 19983
./instancias/easy/i160-345_sft 7356 1940.56 1937.21 9 6 7352 7356 15850
./instancias/easy/i320-011_sft 1e+09 7900.97 3593.71 72 -1 1742.11 1825.04 10107
./instancias/easy/i320-014_sft 1e+09 7905.01 3606.98 33 -1 1743.23 1834.42 10667
./instancias/easy/i320-015_sft 1781 7010.85 2701.98 11 7 1663.52 1781 6739
./instancias/easy/i320-031_sft 2599 7927.19 3626.6 152 126 2413.95 2528.55 16596
./instancias/easy/i320-032_sft 2379 641.318 639.061 19 14 2255.99 2379 6371
./instancias/easy/i320-043_sft 1e+09 7900.65 3597.09 1 -1 1308.36 1308.53 4126
./instancias/easy/i320-111_sft 1e+09 7897.42 3600.41 1 -1 3871.45 3872.11 22052
./instancias/easy/i320-112_sft 3674 7031.98 2705.25 7 5 3621.67 3674 20661
./instancias/easy/i320-113_sft 1e+09 7898.03 3599.83 1 -1 3610.65 3610.89 21182
./instancias/easy/i320-114_sft 1e+09 7900.11 3601.27 1 -1 3594.92 3595.15 20677
./instancias/easy/i320-115_sft 1e+09 7896.01 3592.49 0 -1 3797.86 3797.86 27094
./instancias/easy/i320-135_sft 1e+09 7910.98 3605.57 181 -1 5160.37 5223.2 33648
./instancias/easy/i320-141_sft 1e+09 7907.55 3607.36 0 -1 2838.79 2838.79 9103
./instancias/easy/i320-145_sft 1e+09 7905.87 3600.31 0 -1 2815.87 2815.87 9382
./instancias/easy/i320-211_sft 1e+09 7898.57 3586.49 0 -1 6992.72 6992.72 27946
./instancias/easy/i320-212_sft 1e+09 7895.87 3576.27 0 -1 7138.68 7138.68 30212
./instancias/easy/i320-213_sft 1e+09 7897.31 3593.63 0 -1 6864.52 6864.52 27851
./instancias/easy/i320-214_sft 1e+09 7895.79 3588.16 0 -1 7089.97 7089.97 28142
./instancias/easy/i320-215_sft 1e+09 7895.72 3585.91 0 -1 7139.61 7139.61 31521
./instancias/easy/i320-221_sft 1e+09 7909.06 3597.82 0 -1 4077.38 4077.38 6120
./instancias/easy/i320-222_sft 1e+09 7908.58 3601.43 0 -1 4109 4109 6341
./instancias/easy/i320-223_sft 1e+09 7911.87 3605.86 0 -1 4187.94 4187.94 7106
./instancias/easy/i320-224_sft 1e+09 7910.76 3573.63 0 -1 4103.7 4103.7 6403
./instancias/easy/i320-225_sft 1e+09 7909.81 3598.9 0 -1 4106 4106 6256
./instancias/easy/i320-241_sft 1e+09 7913.94 3610.47 0 -1 5445.62 5445.62 13751
./instancias/easy/i320-242_sft 1e+09 7909.78 3598.06 0 -1 5428.04 5428.04 13369
./instancias/easy/i320-243_sft 1e+09 7911.6 3584.69 0 -1 5434.08 5434.08 13085
./instancias/easy/i320-244_sft 1e+09 7911.5 3596.77 0 -1 5433.7 5433.7 13307
./instancias/easy/i320-245_sft 1e+09 7920.82 3607.21 0 -1 5354.5 5354.5 12400
