Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/easy/i160-341_sft 7397 1520.4 1517.27 5 3 7390.5 7397 16358
./instancias/easy/i160-342_sft 7485 6604.32 2305.49 10 7 7481 7485 18324
./instancias/easy/i160-343_sft 7554 7452.84 3057.47 697 430 7546 7553.01 19181
./instancias/easy/i160-344_sft 1e+09 7898.62 3587.86 138 -1 7617.64 7621.65 21319
./instancias/easy/i160-345_sft 7356 1780.84 1778.48 7 2 7352 7356 15922
./instancias/easy/i320-011_sft 1854 6791.36 2493.65 1107 977 1742.11 1854 8849
./instancias/easy/i320-014_sft 1858 7068.4 2714.93 499 397 1744.01 1858 10368
./instancias/easy/i320-015_sft 1781 6795.48 2497.13 158 144 1663.49 1780.12 6405
./instancias/easy/i320-031_sft 2577 1276.93 1239.64 481 195 2415.08 2576.05 11719
./instancias/easy/i320-032_sft 2379 332.395 332.03 11 10 2255.99 2378.18 5763
./instancias/easy/i320-043_sft 1e+09 7898.47 3595.6 1 -1 1305.94 1306.13 4204
./instancias/easy/i320-111_sft 1e+09 7897.22 3598.33 1 -1 3871.45 3872.11 22074
./instancias/easy/i320-112_sft 3674 1835.6 1833.2 15 2 3616.57 3673.13 19511
./instancias/easy/i320-113_sft 1e+09 7899.13 3600.63 1 -1 3610.81 3611.24 20963
./instancias/easy/i320-114_sft 1e+09 7901.29 3601.75 1 -1 3600.96 3601.64 20918
./instancias/easy/i320-115_sft 1e+09 7896.04 3593.95 0 -1 3799.64 3799.64 27299
./instancias/easy/i320-135_sft 1e+09 7908.68 3603.37 184 -1 5160.37 5223.2 33496
./instancias/easy/i320-141_sft 1e+09 7907.29 3596.4 0 -1 2840.82 2840.82 9135
./instancias/easy/i320-145_sft 1e+09 7907.13 3601.87 0 -1 2815.87 2815.87 9382
./instancias/easy/i320-211_sft 1e+09 7895.93 3584.64 0 -1 6991.52 6991.52 27833
./instancias/easy/i320-212_sft 1e+09 7895.85 3592.64 0 -1 7143.4 7143.4 30599
./instancias/easy/i320-213_sft 1e+09 7895.81 3579.04 0 -1 6862.67 6862.67 27697
./instancias/easy/i320-214_sft 1e+09 7895.77 3586.55 0 -1 7087.42 7087.42 28002
./instancias/easy/i320-215_sft 1e+09 7896.41 3573.54 0 -1 7130.08 7130.08 30813
./instancias/easy/i320-221_sft 1e+09 7909.38 3583.66 0 -1 4079.45 4079.45 6137
./instancias/easy/i320-222_sft 1e+09 7910.29 3603.47 0 -1 4145.9 4145.9 6664
./instancias/easy/i320-223_sft 1e+09 7914.26 3602.65 0 -1 4174.87 4174.87 6987
./instancias/easy/i320-224_sft 1e+09 7909.65 3594.56 0 -1 4093.31 4093.31 6318
./instancias/easy/i320-225_sft 1e+09 7909.92 3595.87 0 -1 4091.5 4091.5 6171
./instancias/easy/i320-241_sft 1e+09 7916.52 3594.79 0 -1 5443.5 5443.5 13727
./instancias/easy/i320-242_sft 1e+09 7909.86 3597.3 0 -1 5429.3 5429.3 13383
./instancias/easy/i320-243_sft 1e+09 7911.71 3585.99 0 -1 5432.73 5432.73 13072
./instancias/easy/i320-244_sft 1e+09 7912.04 3586.44 0 -1 5409.35 5409.35 13032
./instancias/easy/i320-245_sft 1e+09 7918.16 3612.04 0 -1 5415.13 5415.13 13140
