Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade/i080-305_sft 5769 7940.19 3589.9 117789 113341 4529 5474 23380
./instancias/sem_suspeita_otimalidade/i080-332_sft 5183 7994.94 3666.38 39075 21573 3794.5 4712.5 37588
./instancias/sem_suspeita_otimalidade/i160-232_sft 8343 8059.41 3737.82 3640 2626 4831.73 5229.37 64790
./instancias/sem_suspeita_otimalidade/i160-332_sft 12774 8056.44 3693.5 7363 5407 7830.5 8350.06 81007
./instancias/sem_suspeita_otimalidade/i320-205_sft 11781 7975.53 3624.42 2853 2269 8183.83 8617.39 52892
./instancias/sem_suspeita_otimalidade/i320-231_sft 11360 7965.8 3622.14 1459 350 7452.25 7820 41244
./instancias/sem_suspeita_otimalidade/i320-232_sft 11892 8095.82 3730.42 2104 840 7442.21 7821 47081
./instancias/sem_suspeita_otimalidade/i320-305_sft 26638 8165.46 3624.23 5913 813 16903.3 17457.7 126526
./instancias/sem_suspeita_otimalidade/i320-311_sft 1e+09 8246.08 3565.3 958 -1 12765.2 12911.5 20890
./instancias/sem_suspeita_otimalidade/i320-312_sft 1e+09 8191.18 3615.74 257 -1 12450.8 12597.4 10722
./instancias/sem_suspeita_otimalidade/i320-313_sft 1e+09 8287.67 3609.51 683 -1 12402.2 12520.2 22182
./instancias/sem_suspeita_otimalidade/i320-314_sft 28415 8245.02 3411.88 3326 2175 12765.8 12956.5 90953
./instancias/sem_suspeita_otimalidade/i320-315_sft 28755 8267.64 3433.91 2617 2332 12569 12773.5 86221
./instancias/sem_suspeita_otimalidade/i320-331_sft 26738 8105.26 3432.02 8302 683 15036.5 15597.2 128669
./instancias/sem_suspeita_otimalidade/i320-332_sft 26487 8112.45 3409.37 9997 1189 15739.3 16263 151322
./instancias/sem_suspeita_otimalidade/i320-333_sft 26746 8145.62 3538.65 6048 1287 14876.8 15411.5 117730
./instancias/sem_suspeita_otimalidade/i320-335_sft 26396 8075.45 3574.21 3270 600 15355 15801 72367
./instancias/sem_suspeita_otimalidade/i640-135_sft 1e+09 7983.85 3647.23 383 -1 6038 6102.83 26073
./instancias/sem_suspeita_otimalidade/i640-201_sft 21764 7976.53 3573.92 1090 686 12664.5 12901.1 50208
./instancias/sem_suspeita_otimalidade/i640-205_sft 1e+09 7951.41 3560.91 511 -1 13198.7 13306.1 51597
./instancias/sem_suspeita_otimalidade/i640-214_sft 1e+09 8219.87 3432.36 819 -1 9168.58 9316 39575
./instancias/sem_suspeita_otimalidade/i640-231_sft 1e+09 7996.59 3584.57 161 -1 11195.8 11334.1 25346
./instancias/sem_suspeita_otimalidade/i640-232_sft 18995 8074.57 3570.46 2021 715 11073.2 11387.6 71711
./instancias/sem_suspeita_otimalidade/i640-233_sft 20482 7995.37 3545.03 1180 1051 11189 11330 50956
./instancias/sem_suspeita_otimalidade/i640-235_sft 20252 7990.29 3528.54 1690 876 11125.5 11248.6 63184
./instancias/sem_suspeita_otimalidade/i640-311_sft 1e+09 8152.29 1679.26 1672 -1 24908.4 25053.9 95857
./instancias/sem_suspeita_otimalidade/i640-312_sft 1e+09 8168.67 2052.97 359 -1 24676.8 24825.5 30909
./instancias/sem_suspeita_otimalidade/i640-313_sft 1e+09 8110.39 2353.09 723 -1 24988.8 25137.8 45760
./instancias/sem_suspeita_otimalidade/i640-314_sft 1e+09 8049.92 2488.2 542 -1 24629.6 24776.7 36092
./instancias/sem_suspeita_otimalidade/i640-315_sft 1e+09 8163.41 2095.66 380 -1 24879.1 25023.9 30250
./instancias/sem_suspeita_otimalidade/i640-331_sft 1e+09 8032.66 3097.76 233 -1 30479.2 30588.5 17460
./instancias/sem_suspeita_otimalidade/i640-332_sft 54825 8111.4 2774.15 2286 1402 30261 30478.5 136624
./instancias/sem_suspeita_otimalidade/i640-333_sft 1e+09 8039.61 3051.8 555 -1 30421.5 30619.2 37850
./instancias/sem_suspeita_otimalidade/i640-334_sft 55114 8061.28 2831.61 2140 1486 30908.5 31157 121756
./instancias/sem_suspeita_otimalidade/i640-335_sft 54289 8101.34 2790.62 2676 1413 30758.5 31224.5 152107
