,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i080-305_sft,5643.0,5643.0,5,1.9278480000000002,32.6,5485.02,5643.0,5643.0,3116.8,0
1,i080-332_sft,5016.0,5016.0,5,5.695268,62.4,4870.23,5016.0,5016.0,3701.0,0
2,i160-232_sft,6451.0,6451.0,5,186.752,232.2,6227.642,6451.0,6450.804,12220.0,0
3,i160-332_sft,1000000000.0,1000000000.0,0,3585.0520000000006,1776.2,10204.6,10378.7,10374.98,33942.6,0
4,i320-205_sft,1000000000.0,1000000000.0,0,3570.936,275.8,10117.6,10305.3,10287.8,40322.6,0
5,i320-231_sft,1000000000.0,1000000000.0,0,3550.118,5.6,9554.422,9592.85,9569.926,85807.4,0
6,i320-232_sft,1000000000.0,1000000000.0,0,3568.5160000000005,24.4,9217.98,9251.8,9251.8,63089.8,0
7,i320-305_sft,1000000000.0,1000000000.0,0,3491.196,178.8,22200.92,22373.3,22343.64,85508.0,0
8,i320-311_sft,1000000000.0,1000000000.0,0,3502.54,0.0,16106.460000000001,16110.8,16106.460000000001,34906.8,0
9,i320-312_sft,1000000000.0,1000000000.0,0,3501.822,0.0,15895.5,15924.7,15895.5,34278.0,0
10,i320-313_sft,1000000000.0,1000000000.0,0,3485.8540000000003,0.0,15943.320000000002,15966.7,15943.320000000002,34741.2,0
11,i320-314_sft,1000000000.0,1000000000.0,0,3535.38,0.0,15986.1,15991.3,15986.1,34388.8,0
12,i320-315_sft,1000000000.0,1000000000.0,0,3510.042,0.0,15935.84,15956.2,15935.84,33171.6,0
13,i320-331_sft,1000000000.0,1000000000.0,0,3434.5080000000003,11.6,21004.9,21027.5,21027.5,83912.2,0
14,i320-332_sft,1000000000.0,1000000000.0,0,3477.0699999999997,2.2,20990.44,21004.4,20998.6,115427.4,0
15,i320-333_sft,1000000000.0,1000000000.0,0,3469.7419999999997,9.0,20579.1,20579.1,20579.1,112962.8,0
16,i320-335_sft,1000000000.0,1000000000.0,0,3460.1279999999997,9.2,20637.6,20660.3,20660.3,107640.4,0
17,i640-135_sft,1000000000.0,1000000000.0,0,3539.964,0.0,7274.622,7276.81,7274.622,41492.8,0
18,i640-201_sft,1000000000.0,1000000000.0,0,3389.096,0.0,15379.74,15381.6,15379.74,75016.8,0
19,i640-205_sft,1000000000.0,1000000000.0,0,3299.41,0.0,15893.220000000001,15895.7,15893.220000000001,83250.0,0
20,i640-214_sft,1000000000.0,1000000000.0,0,3502.172,0.0,9854.7,9854.7,9854.7,26077.0,0
21,i640-231_sft,1000000000.0,1000000000.0,0,3383.5860000000002,0.0,13590.8,13593.1,13590.8,55282.4,0
22,i640-232_sft,1000000000.0,1000000000.0,0,3357.7940000000003,0.0,13656.5,13673.4,13656.5,59918.0,0
23,i640-233_sft,1000000000.0,1000000000.0,0,3319.97,0.0,13926.560000000001,13930.2,13926.560000000001,58870.8,0
24,i640-235_sft,1000000000.0,1000000000.0,0,3410.8239999999996,0.0,13560.179999999998,13594.8,13560.179999999998,53524.4,0
25,i640-311_sft,1000000000.0,1000000000.0,0,2043.1739999999998,0.0,30886.72,30913.5,30886.72,42788.6,0
26,i640-312_sft,1000000000.0,1000000000.0,0,1951.604,0.0,30832.9,30832.9,30832.9,43548.0,0
27,i640-313_sft,1000000000.0,1000000000.0,0,2040.0240000000001,0.0,30661.4,30665.4,30661.4,42319.0,0
28,i640-314_sft,1000000000.0,1000000000.0,0,2040.7959999999998,0.0,30623.120000000003,30670.9,30623.120000000003,40042.0,0
29,i640-315_sft,1000000000.0,1000000000.0,0,1740.8419999999999,0.0,30509.96,30521.1,30509.96,38964.2,0
30,i640-331_sft,1000000000.0,1000000000.0,0,1606.0240000000001,0.0,39612.759999999995,39629.2,39612.759999999995,58372.2,0
31,i640-332_sft,1000000000.0,1000000000.0,0,2047.234,0.0,39449.14,39466.1,39449.14,68951.0,0
32,i640-333_sft,1000000000.0,1000000000.0,0,1774.5,0.0,39167.92,39175.9,39167.92,66030.6,0
33,i640-334_sft,1000000000.0,1000000000.0,0,1879.958,0.0,38853.659999999996,39065.4,38853.659999999996,60038.6,0
34,i640-335_sft,1000000000.0,1000000000.0,0,1695.092,0.0,39590.22,39676.3,39590.22,61386.8,0
