Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade_teste/i640-311_sft 1e+09 9975.07 5564.09 0 -1 31004.8 31004.8 45927
./instancias/sem_suspeita_otimalidade_teste/i640-311_sft 1e+09 9973.77 5630.96 0 -1 31028.6 31028.6 46696
./instancias/sem_suspeita_otimalidade_teste/i640-311_sft 1e+09 9972.74 5586.13 0 -1 31028.6 31028.6 46696
./instancias/sem_suspeita_otimalidade_teste/i640-311_sft 1e+09 9972 5565.27 0 -1 31054.3 31054.3 47644
./instancias/sem_suspeita_otimalidade_teste/i640-311_sft 1e+09 9973.33 5542.43 0 -1 31068.8 31068.8 48067
./instancias/sem_suspeita_otimalidade_teste/i640-312_sft 1e+09 9881.47 5217.49 0 -1 30949.6 30949.6 47086
./instancias/sem_suspeita_otimalidade_teste/i640-312_sft 1e+09 9881.18 5185.53 0 -1 30954.3 30954.3 47273
./instancias/sem_suspeita_otimalidade_teste/i640-312_sft 1e+09 9884.63 5217.74 0 -1 30943.5 30943.5 46886
./instancias/sem_suspeita_otimalidade_teste/i640-312_sft 1e+09 9881.15 5350.36 0 -1 30959.5 30959.5 47478
./instancias/sem_suspeita_otimalidade_teste/i640-312_sft 1e+09 9880.57 5367.74 0 -1 30959.5 30959.5 47478
./instancias/sem_suspeita_otimalidade_teste/i640-313_sft 1e+09 9961.73 5368.98 0 -1 30862.2 30862.2 49161
./instancias/sem_suspeita_otimalidade_teste/i640-313_sft 1e+09 9961.53 5351.44 0 -1 30862.2 30862.2 49161
./instancias/sem_suspeita_otimalidade_teste/i640-313_sft 1e+09 9961.11 5351.3 0 -1 30862.2 30862.2 49161
./instancias/sem_suspeita_otimalidade_teste/i640-313_sft 1e+09 9962.9 5366.42 0 -1 30848 30848 48584
./instancias/sem_suspeita_otimalidade_teste/i640-313_sft 1e+09 9962.98 5318.4 0 -1 30848 30848 48584
./instancias/sem_suspeita_otimalidade_teste/i640-314_sft 1e+09 9988.14 5571.86 0 -1 30797.4 30797.4 45096
./instancias/sem_suspeita_otimalidade_teste/i640-314_sft 1e+09 9983.19 5626.51 0 -1 30824 30824 46208
./instancias/sem_suspeita_otimalidade_teste/i640-314_sft 1e+09 9984.79 5582.4 0 -1 30828.8 30828.8 46366
./instancias/sem_suspeita_otimalidade_teste/i640-314_sft 1e+09 9984.96 5614.74 0 -1 30828.8 30828.8 46366
