Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade_teste/i640-311_sft 1e+09 6699.16 2342.73 0 -1 30970.4 30970.4 44967
./instancias/sem_suspeita_otimalidade_teste/i640-312_sft 1e+09 6701.09 2392.04 0 -1 30901.8 30901.8 45451
./instancias/sem_suspeita_otimalidade_teste/i640-313_sft 1e+09 6699.13 2362.09 0 -1 30759.8 30759.8 45441
./instancias/sem_suspeita_otimalidade_teste/i640-314_sft 1e+09 6698.78 2386.53 0 -1 30720.9 30720.9 42638
./instancias/sem_suspeita_otimalidade_teste/i640-315_sft 1e+09 6699.11 2398.99 0 -1 30582.4 30582.4 40820
./instancias/sem_suspeita_otimalidade_teste/i640-331_sft 1e+09 6695.59 2331.54 0 -1 39966 39966 70845
./instancias/sem_suspeita_otimalidade_teste/i640-332_sft 1e+09 6696.09 2194.51 0 -1 39566.7 39566.7 72388
./instancias/sem_suspeita_otimalidade_teste/i640-333_sft 1e+09 6695.53 2385.74 0 -1 39378.1 39378.1 75112
./instancias/sem_suspeita_otimalidade_teste/i640-334_sft 1e+09 6695.66 2364.08 0 -1 39233.9 39233.9 70190
./instancias/sem_suspeita_otimalidade_teste/i640-335_sft 1e+09 6695.58 2322.6 0 -1 39993.6 39993.6 71733
./instancias/sem_suspeita_otimalidade_teste/i640-311_sft 1e+09 6700.33 2367.65 0 -1 30970.4 30970.4 44967
./instancias/sem_suspeita_otimalidade_teste/i640-312_sft 1e+09 6700.08 2343.49 0 -1 30897 30897 45316
./instancias/sem_suspeita_otimalidade_teste/i640-313_sft 1e+09 6699.11 2380.29 0 -1 30763.6 30763.6 45603
./instancias/sem_suspeita_otimalidade_teste/i640-314_sft 1e+09 6698.74 2378.15 0 -1 30716.5 30716.5 42488
./instancias/sem_suspeita_otimalidade_teste/i640-315_sft 1e+09 6700.22 2384.79 0 -1 30582.4 30582.4 40820
./instancias/sem_suspeita_otimalidade_teste/i640-331_sft 1e+09 6696.18 2387.04 0 -1 39998.4 39998.4 72159
./instancias/sem_suspeita_otimalidade_teste/i640-332_sft 1e+09 6696.59 2223.23 0 -1 39566.7 39566.7 72388
./instancias/sem_suspeita_otimalidade_teste/i640-333_sft 1e+09 6695.56 2332.08 0 -1 39378.1 39378.1 75112
./instancias/sem_suspeita_otimalidade_teste/i640-334_sft 1e+09 6696.25 2373.15 0 -1 39233.9 39233.9 70190
./instancias/sem_suspeita_otimalidade_teste/i640-335_sft 1e+09 6695.89 2385.23 0 -1 40026.5 40026.5 72992
./instancias/sem_suspeita_otimalidade_teste/i640-311_sft 1e+09 6700.7 2375.71 0 -1 30970.4 30970.4 44967
./instancias/sem_suspeita_otimalidade_teste/i640-312_sft 1e+09 6701.46 2350.69 0 -1 30897 30897 45316
./instancias/sem_suspeita_otimalidade_teste/i640-313_sft 1e+09 6699.1 2399.59 0 -1 30763.6 30763.6 45603
./instancias/sem_suspeita_otimalidade_teste/i640-314_sft 1e+09 6699.7 2393.97 0 -1 30729.6 30729.6 42936
./instancias/sem_suspeita_otimalidade_teste/i640-315_sft 1e+09 6699.24 2376 0 -1 30582.4 30582.4 40820
./instancias/sem_suspeita_otimalidade_teste/i640-331_sft 1e+09 6696.74 2325.95 0 -1 39966 39966 70845
./instancias/sem_suspeita_otimalidade_teste/i640-332_sft 1e+09 6696.26 2392.13 0 -1 39651.1 39651.1 75107
./instancias/sem_suspeita_otimalidade_teste/i640-333_sft 1e+09 6695.86 2335.9 0 -1 39378.1 39378.1 75112
./instancias/sem_suspeita_otimalidade_teste/i640-334_sft 1e+09 6697.59 2273.16 0 -1 39065.4 39065.4 65345
./instancias/sem_suspeita_otimalidade_teste/i640-335_sft 1e+09 6696.3 2387.38 0 -1 39676.3 39676.3 63553
./instancias/sem_suspeita_otimalidade_teste/i640-311_sft 1e+09 6699.87 2391.66 0 -1 30957.8 30957.8 44634
./instancias/sem_suspeita_otimalidade_teste/i640-312_sft 1e+09 6701.28 2378.51 0 -1 30819.4 30819.4 43095
