,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i640-311_sft,1000000000.0,1000000000.0,0,2380.57,0.0,30956.840000000004,30983.7,30956.840000000004,44600.6,0
1,i640-312_sft,1000000000.0,1000000000.0,0,2361.4275,0.0,30886.8,30901.8,30886.8,45015.0,0
2,i640-313_sft,1000000000.0,1000000000.0,0,2377.01,0.0,30757.449999999997,30763.6,30757.449999999997,45365.25,0
3,i640-314_sft,1000000000.0,1000000000.0,0,2385.4075000000003,0.0,30719.625,30729.6,30719.625,42590.5,0
4,i640-315_sft,1000000000.0,1000000000.0,0,2357.36,0.0,30576.350000000002,30582.4,30576.350000000002,40666.75,0
5,i640-331_sft,1000000000.0,1000000000.0,0,2315.12,0.0,39917.925,39998.4,39917.925,69175.75,0
6,i640-332_sft,1000000000.0,1000000000.0,0,2249.08,0.0,39541.549999999996,39566.7,39541.549999999996,71673.75,0
7,i640-333_sft,1000000000.0,1000000000.0,0,2346.995,0.0,39270.425,39378.1,39270.425,70738.25,0
8,i640-334_sft,1000000000.0,1000000000.0,0,2358.73,0.0,39070.475,39233.9,39070.475,65711.5,0
9,i640-335_sft,1000000000.0,1000000000.0,0,2344.065,0.0,39980.625,40026.5,39980.625,71467.75,0
