4                      C67 ,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i080-305_sft,5643.0,5643.0,1,2.07435,27.0,5485.02,5643.0,5643.0,3349.0,0
1,i080-332_sft,5016.0,5016.0,1,5.86495,44.0,4870.23,5016.0,5016.0,3668.0,0
2,i160-232_sft,6451.0,6451.0,1,195.273,156.0,6227.66,6450.64,6450.64,12503.0,0
3,i160-332_sft,10643.0,10643.0,1,3597.45,886.0,10204.6,10341.6,10341.6,37537.0,0
4,i320-205_sft,1000000000.0,1000000000.0,0,3586.03,132.0,10118.7,10176.5,10176.5,39196.0,0
5,i320-231_sft,1000000000.0,1000000000.0,0,3591.26,4.0,9546.17,9587.77,9587.77,84635.0,0
6,i320-232_sft,1000000000.0,1000000000.0,0,3557.57,15.0,9217.98,9251.8,9251.8,62071.0,0
7,i320-305_sft,1000000000.0,1000000000.0,0,3591.24,78.0,22170.2,22170.3,22170.3,85656.0,0
8,i320-311_sft,1000000000.0,1000000000.0,0,3598.75,0.0,16116.0,16116.0,16116.0,35430.0,0
9,i320-312_sft,1000000000.0,1000000000.0,0,3571.19,0.0,15924.7,15924.7,15924.7,36039.0,0
10,i320-313_sft,1000000000.0,1000000000.0,0,3582.97,0.0,15978.0,15978.0,15978.0,36663.0,0
11,i320-314_sft,1000000000.0,1000000000.0,0,3595.92,0.0,15991.3,15991.3,15991.3,34699.0,0
12,i320-315_sft,1000000000.0,1000000000.0,0,3553.32,0.0,15931.3,15931.3,15931.3,32803.0,0
13,i320-331_sft,1000000000.0,1000000000.0,0,3575.34,10.0,21004.9,21027.5,21027.5,82944.0,0
14,i320-332_sft,1000000000.0,1000000000.0,0,3590.06,2.0,20990.8,20990.9,20990.9,115506.0,0
15,i320-333_sft,1000000000.0,1000000000.0,0,3584.37,9.0,20579.1,20579.1,20579.1,112824.0,0
16,i320-335_sft,1000000000.0,1000000000.0,0,3581.97,9.0,20637.6,20660.3,20660.3,107550.0,0
17,i640-135_sft,1000000000.0,1000000000.0,0,3598.17,0.0,7241.43,7241.43,7241.43,37695.0,0
18,i640-201_sft,1000000000.0,1000000000.0,0,3579.18,0.0,15305.6,15305.6,15305.6,60954.0,0
19,i640-205_sft,1000000000.0,1000000000.0,0,3588.65,0.0,15787.7,15787.7,15787.7,67198.0,0
20,i640-214_sft,1000000000.0,1000000000.0,0,3566.64,0.0,9838.5,9838.5,9838.5,25033.0,0
21,i640-231_sft,1000000000.0,1000000000.0,0,3582.23,0.0,13547.7,13547.7,13547.7,51160.0,0
22,i640-232_sft,1000000000.0,1000000000.0,0,3587.64,0.0,13652.0,13652.0,13652.0,58922.0,0
23,i640-233_sft,1000000000.0,1000000000.0,0,3576.53,0.0,13908.7,13908.7,13908.7,56211.0,0
24,i640-235_sft,1000000000.0,1000000000.0,0,3589.66,0.0,13410.3,13410.3,13410.3,45277.0,0
25,i640-311_sft,1000000000.0,1000000000.0,0,3566.14,0.0,30944.8,30944.8,30944.8,44374.0,0
26,i640-312_sft,1000000000.0,1000000000.0,0,3576.54,0.0,30827.4,30827.4,30827.4,43156.0,0
27,i640-313_sft,1000000000.0,1000000000.0,0,3493.93,0.0,30696.2,30696.2,30696.2,42993.0,0
28,i640-314_sft,1000000000.0,1000000000.0,0,3561.04,0.0,30667.0,30667.0,30667.0,41377.0,0
29,i640-315_sft,1000000000.0,1000000000.0,0,3419.44,0.0,30614.2,30614.2,30614.2,41986.0,0
3 1*,i640-331_sft,1000000000.0,1000000000.0,0,3496.71,0.0,39998.4,39998.4,39998.4,72159.0,0
3 1,i640-332_sft,1000000000.0,1000000000.0,0,3568.8,0.0,39730.4,39730.4,39730.4,78000.0,0
32,i640-333_sft,1000000000.0,1000000000.0,0,3477.63,0.0,39499.2,39499.2,39499.2,80409.0,0
33,i640-334_sft,1000000000.0,1000000000.0,0,3478.15,0.0,39367.8,39367.8,39367.8,75264.0,0
34,i640-335_sft,1000000000.0,1000000000.0,0,3503.33,0.0,40147.4,40147.4,40147.4,76715.0,0
7
