Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 2.23603 2.09598 27 9 5485.02 5643 3349
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 2.21505 2.07435 27 9 5485.02 5643 3349
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 6.22254 5.86495 44 27 4870.23 5016 3668
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 200.448 195.273 156 134 6227.66 6450.64 12503
./instancias/sem_suspeita_otimalidade/i160-332_sft 10643 7910.53 3597.45 886 881 10204.6 10341.6 37537
./instancias/sem_suspeita_otimalidade/i320-205_sft 1e+09 7905.14 3586.03 132 -1 10118.7 10176.5 39196
./instancias/sem_suspeita_otimalidade/i320-231_sft 1e+09 7897.66 3591.26 4 -1 9546.17 9587.77 84635
./instancias/sem_suspeita_otimalidade/i320-232_sft 1e+09 7902 3557.57 15 -1 9217.98 9251.8 62071
./instancias/sem_suspeita_otimalidade/i320-305_sft 1e+09 7901.21 3591.24 78 -1 22170.2 22170.3 85656
./instancias/sem_suspeita_otimalidade/i320-311_sft 1e+09 7897.3 3598.75 0 -1 16116 16116 35430
./instancias/sem_suspeita_otimalidade/i320-312_sft 1e+09 7896.02 3571.19 0 -1 15924.7 15924.7 36039
./instancias/sem_suspeita_otimalidade/i320-313_sft 1e+09 7895.91 3582.97 0 -1 15978 15978 36663
./instancias/sem_suspeita_otimalidade/i320-314_sft 1e+09 7896.12 3595.92 0 -1 15991.3 15991.3 34699
./instancias/sem_suspeita_otimalidade/i320-315_sft 1e+09 7896.96 3553.32 0 -1 15931.3 15931.3 32803
./instancias/sem_suspeita_otimalidade/i320-331_sft 1e+09 7898.19 3575.34 10 -1 21004.9 21027.5 82944
./instancias/sem_suspeita_otimalidade/i320-332_sft 1e+09 7896.78 3590.06 2 -1 20990.8 20990.9 115506
./instancias/sem_suspeita_otimalidade/i320-333_sft 1e+09 7897.7 3584.37 9 -1 20579.1 20579.1 112824
./instancias/sem_suspeita_otimalidade/i320-335_sft 1e+09 7899.19 3581.97 9 -1 20637.6 20660.3 107550
./instancias/sem_suspeita_otimalidade/i640-135_sft 1e+09 7896.77 3598.17 0 -1 7241.43 7241.43 37695
./instancias/sem_suspeita_otimalidade/i640-201_sft 1e+09 7896.71 3579.18 0 -1 15305.6 15305.6 60954
./instancias/sem_suspeita_otimalidade/i640-205_sft 1e+09 7898.42 3588.65 0 -1 15787.7 15787.7 67198
./instancias/sem_suspeita_otimalidade/i640-214_sft 1e+09 7897.71 3566.64 0 -1 9838.5 9838.5 25033
./instancias/sem_suspeita_otimalidade/i640-231_sft 1e+09 7896.21 3582.23 0 -1 13547.7 13547.7 51160
./instancias/sem_suspeita_otimalidade/i640-232_sft 1e+09 7896.19 3587.64 0 -1 13652 13652 58922
./instancias/sem_suspeita_otimalidade/i640-233_sft 1e+09 7896.01 3576.53 0 -1 13908.7 13908.7 56211
./instancias/sem_suspeita_otimalidade/i640-235_sft 1e+09 7897.63 3589.66 0 -1 13410.3 13410.3 45277
./instancias/sem_suspeita_otimalidade/i640-311_sft 1e+09 7899.86 3566.14 0 -1 30944.8 30944.8 44374
./instancias/sem_suspeita_otimalidade/i640-312_sft 1e+09 7899.83 3576.54 0 -1 30827.4 30827.4 43156
./instancias/sem_suspeita_otimalidade/i640-313_sft 1e+09 7898.91 3493.93 0 -1 30696.2 30696.2 42993
./instancias/sem_suspeita_otimalidade/i640-314_sft 1e+09 7898.41 3561.04 0 -1 30667 30667 41377
./instancias/sem_suspeita_otimalidade/i640-315_sft 1e+09 7898.38 3419.44 0 -1 30614.2 30614.2 41986
./instancias/sem_suspeita_otimalidade/i640-331_sft 1e+09 7895.97 3496.71 0 -1 39998.4 39998.4 72159
./instancias/sem_suspeita_otimalidade/i640-332_sft 1e+09 7895.69 3568.8 0 -1 39730.4 39730.4 78000
./instancias/sem_suspeita_otimalidade/i640-333_sft 1e+09 7895.59 3477.63 0 -1 39499.2 39499.2 80409
./instancias/sem_suspeita_otimalidade/i640-334_sft 1e+09 7895.75 3478.15 0 -1 39367.8 39367.8 75264
./instancias/sem_suspeita_otimalidade/i640-335_sft 1e+09 7895.69 3503.33 0 -1 40147.4 40147.4 76715
