,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i640-311_sft,1000000000.0,1000000000.0,0,5383.5,0.0,30953.7,30953.7,30953.7,44578.0,0
1,i640-312_sft,1000000000.0,1000000000.0,0,5354.52,0.0,30827.4,30827.4,30827.4,43156.0,0
2,i640-313_sft,1000000000.0,1000000000.0,0,5325.93,0.0,30673.4,30673.4,30673.4,42390.0,0
3,i640-314_sft,1000000000.0,1000000000.0,0,5325.31,0.0,30619.3,30619.3,30619.3,40128.0,0
4,i640-315_sft,1000000000.0,1000000000.0,0,4880.53,0.0,30614.2,30614.2,30614.2,41986.0,0
5,i640-331_sft,1000000000.0,1000000000.0,0,5286.68,0.0,40130.9,40130.9,40130.9,77960.0,0
6,i640-332_sft,1000000000.0,1000000000.0,0,5345.28,0.0,39812.7,39812.7,39812.7,80931.0,0
7,i640-333_sft,1000000000.0,1000000000.0,0,5355.72,0.0,39582.5,39582.5,39582.5,84578.0,0
8,i640-334_sft,1000000000.0,1000000000.0,0,5318.09,0.0,39465.2,39465.2,39465.2,79065.0,0
9,i640-335_sft,1000000000.0,1000000000.0,0,5340.77,0.0,40263.1,40263.1,40263.1,80534.0,0
