Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1.9084 1.77041 26 12 5485.02 5643 3102
./instancias/sem_suspeita_otimalidade/i080-305_sft 5643 1.7815 1.65313 26 12 5485.02 5643 3102
./instancias/sem_suspeita_otimalidade/i080-332_sft 5016 6.74728 6.20452 77 59 4870.23 5016 3753
./instancias/sem_suspeita_otimalidade/i160-232_sft 6451 190.86 178.18 394 313 6227.57 6450.11 12387
./instancias/sem_suspeita_otimalidade/i160-332_sft 1e+09 7911.39 3594.35 1792 -1 10204.6 10379.5 33508
./instancias/sem_suspeita_otimalidade/i320-205_sft 1e+09 7906.05 3590.67 350 -1 10117.6 10306.9 40033
./instancias/sem_suspeita_otimalidade/i320-231_sft 1e+09 7900.79 3590.68 8 -1 9554.68 9592.85 88113
./instancias/sem_suspeita_otimalidade/i320-232_sft 1e+09 7906.8 3603.96 5 -1 9217.98 9251.8 59017
./instancias/sem_suspeita_otimalidade/i320-305_sft 1e+09 7905.89 3584.24 78 -1 22216.6 22282.1 85524
./instancias/sem_suspeita_otimalidade/i320-311_sft 1e+09 7897.38 3585.77 0 -1 16105 16105 34853
./instancias/sem_suspeita_otimalidade/i320-312_sft 1e+09 7896.13 3546.43 0 -1 15924.7 15924.7 36039
./instancias/sem_suspeita_otimalidade/i320-313_sft 1e+09 7897.11 3597.11 0 -1 15978 15978 36663
./instancias/sem_suspeita_otimalidade/i320-314_sft 1e+09 7896.74 3573.94 0 -1 15991.3 15991.3 34699
./instancias/sem_suspeita_otimalidade/i320-315_sft 1e+09 7897.33 3587.39 0 -1 15917.5 15917.5 31969
./instancias/sem_suspeita_otimalidade/i320-331_sft 1e+09 7898.36 3549.87 11 -1 21004.9 21027.5 83216
./instancias/sem_suspeita_otimalidade/i320-332_sft 1e+09 7896.49 3589.02 3 -1 20990.8 21004.4 116664
./instancias/sem_suspeita_otimalidade/i320-333_sft 1e+09 7897.86 3585.01 9 -1 20579.1 20579.1 112974
./instancias/sem_suspeita_otimalidade/i320-335_sft 1e+09 7899.08 3579.38 9 -1 20637.6 20660.3 107552
./instancias/sem_suspeita_otimalidade/i640-135_sft 1e+09 7899.16 3589.23 0 -1 7237.41 7237.41 37312
./instancias/sem_suspeita_otimalidade/i640-201_sft 1e+09 7897.38 3584.99 0 -1 15315.2 15315.2 63853
./instancias/sem_suspeita_otimalidade/i640-205_sft 1e+09 7896.74 3589.89 0 -1 15824.3 15824.3 71484
./instancias/sem_suspeita_otimalidade/i640-214_sft 1e+09 7897.9 3594.62 0 -1 9839.63 9839.63 25091
./instancias/sem_suspeita_otimalidade/i640-231_sft 1e+09 7896.22 3594.75 0 -1 13556.3 13556.3 51989
./instancias/sem_suspeita_otimalidade/i640-232_sft 1e+09 7896.08 3597.03 0 -1 13655.4 13655.4 59531
./instancias/sem_suspeita_otimalidade/i640-233_sft 1e+09 7896.28 3585.34 0 -1 13904.5 13904.5 55645
./instancias/sem_suspeita_otimalidade/i640-235_sft 1e+09 7896.09 3593.96 0 -1 13536.3 13536.3 50728
./instancias/sem_suspeita_otimalidade/i640-311_sft 1e+09 7899.83 3541.58 0 -1 31004.8 31004.8 45927
./instancias/sem_suspeita_otimalidade/i640-312_sft 1e+09 7901.82 3474.26 0 -1 30912 30912 45802
./instancias/sem_suspeita_otimalidade/i640-313_sft 1e+09 7900.61 3593.99 0 -1 30784 30784 46270
./instancias/sem_suspeita_otimalidade/i640-314_sft 1e+09 7900.95 3554.8 0 -1 30747.1 30747.1 43501
./instancias/sem_suspeita_otimalidade/i640-315_sft 1e+09 7900.29 3574.6 0 -1 30600.5 30600.5 41335
./instancias/sem_suspeita_otimalidade/i640-331_sft 1e+09 7895.71 3490.86 0 -1 40065.8 40065.8 75087
./instancias/sem_suspeita_otimalidade/i640-332_sft 1e+09 7895.65 3526.14 0 -1 39730.4 39730.4 78000
./instancias/sem_suspeita_otimalidade/i640-333_sft 1e+09 7895.67 3469.21 0 -1 39499.2 39499.2 80409
./instancias/sem_suspeita_otimalidade/i640-334_sft 1e+09 7895.76 3515.66 0 -1 39367.8 39367.8 75264
./instancias/sem_suspeita_otimalidade/i640-335_sft 1e+09 7895.59 3465.99 0 -1 40147.4 40147.4 76715
