Instância Best_Integer Tempo_Total Tempo_Solver #Nós Nó_Solução LP Melhor_Bound #Cortes
./instancias/experimentos_long/i640-311_sft 1e+09 9698.14 5375.67 0 -1 31089.6 31089.6 49095
./instancias/experimentos_long/i640-311_sft 1e+09 9697.71 5301.47 0 -1 31089.6 31089.6 49095
./instancias/experimentos_long/i640-311_sft 1e+09 9697.96 5255.77 0 -1 31089.6 31089.6 49095
./instancias/experimentos_long/i640-311_sft 1e+09 9697.83 5242.92 0 -1 31089.6 31089.6 49095
./instancias/experimentos_long/i640-311_sft 1e+09 9698.06 5315.51 0 -1 31089.6 31089.6 49095
./instancias/experimentos_long/i640-312_sft 1e+09 9698.85 5277.89 0 -1 30965.5 30965.5 47689
./instancias/experimentos_long/i640-312_sft 1e+09 9698.47 5376.62 0 -1 30983.5 30983.5 48198
./instancias/experimentos_long/i640-312_sft 1e+09 9697.29 5374.18 0 -1 30983.5 30983.5 48198
./instancias/experimentos_long/i640-312_sft 1e+09 9698.17 5378.03 0 -1 30983.5 30983.5 48198
./instancias/experimentos_long/i640-312_sft 1e+09 9698.53 5397.05 0 -1 30983.5 30983.5 48198
./instancias/experimentos_long/i640-313_sft 1e+09 9697.87 5300.14 0 -1 30829 30829 47496
./instancias/experimentos_long/i640-313_sft 1e+09 9697.83 5294.7 0 -1 30829 30829 47496
./instancias/experimentos_long/i640-313_sft 1e+09 9698.2 5311.05 0 -1 30829 30829 47496
./instancias/experimentos_long/i640-313_sft 1e+09 9698.28 5302.97 0 -1 30829 30829 47496
./instancias/experimentos_long/i640-313_sft 1e+09 9698.78 5303.82 0 -1 30829 30829 47496
./instancias/experimentos_long/i640-314_sft 1e+09 9697.78 5366.34 0 -1 30800.1 30800.1 45376
./instancias/experimentos_long/i640-314_sft 1e+09 9698.38 5370.43 0 -1 30794.2 30794.2 45177
./instancias/experimentos_long/i640-314_sft 1e+09 9698.44 5292.64 0 -1 30794.2 30794.2 45177
./instancias/experimentos_long/i640-314_sft 1e+09 9697.88 5273.23 0 -1 30794.2 30794.2 45177
./instancias/experimentos_long/i640-314_sft 1e+09 9698.66 5276.13 0 -1 30794.2 30794.2 45177
./instancias/experimentos_long/i640-315_sft 1e+09 9697.98 5258.8 0 -1 30713.5 30713.5 45219
./instancias/experimentos_long/i640-315_sft 1e+09 9698.07 5397.36 0 -1 30722.3 30722.3 45554
./instancias/experimentos_long/i640-315_sft 1e+09 9698.12 5371.72 0 -1 30717.9 30717.9 45397
./instancias/experimentos_long/i640-315_sft 1e+09 9697.8 5376.65 0 -1 30728.1 30728.1 45737
./instancias/experimentos_long/i640-315_sft 1e+09 9698.03 5360.22 0 -1 30717.9 30717.9 45397
./instancias/experimentos_long/i640-331_sft 1e+09 9695.72 5394.2 0 -1 40567.7 40567.7 103201
./instancias/experimentos_long/i640-331_sft 1e+09 9695.83 5371.48 0 -1 40540.5 40540.5 101447
./instancias/experimentos_long/i640-331_sft 1e+09 9695.86 5381.47 0 -1 40518.6 40518.6 99868
./instancias/experimentos_long/i640-331_sft 1e+09 9695.88 5346.62 0 -1 40540.5 40540.5 101447
./instancias/experimentos_long/i640-331_sft 1e+09 9695.71 5330.61 0 -1 40540.5 40540.5 101447
./instancias/experimentos_long/i640-332_sft 1e+09 9696.01 5010.33 0 -1 40188.8 40188.8 98506
./instancias/experimentos_long/i640-332_sft 1e+09 9696.12 5379.97 0 -1 40151.7 40151.7 97070
./instancias/experimentos_long/i640-332_sft 1e+09 9695.72 5215.04 0 -1 40316.6 40316.6 104544
./instancias/experimentos_long/i640-332_sft 1e+09 9695.68 5240.12 0 -1 40316.6 40316.6 104544
./instancias/experimentos_long/i640-332_sft 1e+09 9696.02 5216.53 0 -1 40316.6 40316.6 104544
./instancias/experimentos_long/i640-333_sft 1e+09 9695.96 5289.78 0 -1 39911.2 39911.2 108185
./instancias/experimentos_long/i640-333_sft 1e+09 9695.54 5296.43 0 -1 39932.7 39932.7 109511
./instancias/experimentos_long/i640-333_sft 1e+09 9695.74 5319.21 0 -1 39932.7 39932.7 109511
./instancias/experimentos_long/i640-333_sft 1e+09 9695.81 5248.78 0 -1 39911.2 39911.2 108185
./instancias/experimentos_long/i640-333_sft 1e+09 9695.78 5332.24 0 -1 39932.7 39932.7 109511
./instancias/experimentos_long/i640-334_sft 1e+09 9695.74 5233.23 0 -1 39828.6 39828.6 100808
./instancias/experimentos_long/i640-334_sft 1e+09 9695.73 5236.87 0 -1 39828.6 39828.6 100808
./instancias/experimentos_long/i640-334_sft 1e+09 9695.8 5227.74 0 -1 39828.6 39828.6 100808
./instancias/experimentos_long/i640-334_sft 1e+09 9695.94 5239.45 0 -1 39828.6 39828.6 100808
./instancias/experimentos_long/i640-334_sft 1e+09 9695.8 5224.51 0 -1 39828.6 39828.6 100808
./instancias/experimentos_long/i640-335_sft 1e+09 9695.81 5395.88 0 -1 40759.6 40759.6 105546
./instancias/experimentos_long/i640-335_sft 1e+09 9695.85 5153.05 0 -1 40731.1 40731.1 103952
